Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	77/284	1.73861738210857E-11	8.13325211350389E-8	0	0	2.6623474223445442	65.96057811767287	DDR1;PTPRT;BCAR3;GSK3B;GSK3A;IRS1;FLT4;PLAT;CD3E;SOGA1;FGF5;GHR;UBASH3B;FGF9;AKT2;STMN1;ANKS1A;SAMD12;EPHB4;PDK2;ANKS1B;APPL1;GAB1;TSC2;NRG1;SLC39A14;PRLR;MTSS1;HCK;DOK3;TYRO3;RAPGEF1;RAPGEF2;LCP2;PLCB1;MET;EPHA3;GPLD1;EPHA2;EPHA10;SRC;ARHGEF28;MVP;PXN;PIK3R3;PIK3R2;ADRB2;KALRN;RASGRP4;FLRT2;ERBB3;FLRT3;PDGFC;PAK2;LYN;NTRK2;ANGPT2;CAV2;INSR;NTRK3;TIE1;PTPN11;IGF1;SORBS1;SULF1;MERTK;PTK2;SULF2;CD4;AXL;APEX1;CD7;FGFR4;MUC20;FRK;FGFR2;FGFR1
Regulation Of Transcription By RNA Polymerase II (GO:0006357)	344/2028	3.2229548583305645E-10	7.538491413635191E-7	0	0	1.5032779097387174	32.854969027800514	TCERG1;ZNF296;SPI1;SMARCB1;GFI1;EHMT2;FOXI3;SLA2;IKZF2;IKZF3;ELK1;ACTB;SPIB;ELK4;RPS6KA4;ZMIZ1;ZMIZ2;CREB3L1;MYC;CREB3L2;DPF2;ZNF844;PKNOX1;JUNB;SOX4;SOX5;MED1;SP110;SERPINF2;SOX13;EBF1;PTOV1;DICER1;RUNX3;RUNX2;HCFC1;RFX7;RFX4;ATF7;HOXB2;ZFPM2;ATF6;TP53;ATF4;ZNF396;ZNF395;ZBTB8A;SRCAP;EPAS1;PRKDC;MAGED1;ZNF20;PRDM15;PIK3R2;GATA3;ZBTB4;HIF1A;POU5F1B;CYP27B1;PPP3R1;ZNF704;HIVEP1;HIVEP2;PATZ1;PPARGC1A;ZBTB7A;RREB1;PPARGC1B;ZBTB7C;ZBED3;PLK3;WWTR1;XBP1;JAG1;ZNF383;BCL11A;PLK1;MICAL2;NFATC1;PBX4;IGF1;NR1D1;PARP15;PBX1;FLI1;ST18;POU6F1;TADA2A;REL;RCOR3;SIM2;HAMP;EZH1;CC2D1B;CSRNP2;RARG;TENM2;CITED2;PTPRN;SUV39H1;TCF23;NKAP;TCF21;TFCP2L1;BRCA1;HIF3A;N4BP2L2;MED12;PPP3CA;MECOM;SUFU;CIC;ZNF366;BRD3;BRD2;ZHX2;ZNF362;ZHX3;NCOA3;NOG;PROX1;ZNF57;ZHX1;SREBF2;POU5F2;RGMA;KAT2A;NCOR1;NR5A2;RARA;TLR9;ARHGEF2;PPARA;PPARD;VGLL3;ENG;KANK2;ZNF232;DOT1L;WAS;PURA;MNT;CUX1;PLAGL1;SHOX;PLAGL2;APBB2;STAT6;BRD8;ZNF589;TBL1X;TAF9B;ZNF345;MEF2D;BRD4;ZNF101;ARNT2;PCGF6;STAT2;ATAD2;LILRB1;GATAD2B;HIPK2;GATAD2A;PER1;GFI1B;TFAP4;NFIA;NFIB;APEX1;NFIC;ZNF219;FOSB;ZNF579;MAMLD1;FRK;ZNF212;ZNF575;CRTC3;CCNT1;ZBTB20;PRDM2;RORA;NUCKS1;PRDM1;JADE2;ETS1;TNF;LOXL2;YY1;ZFP36;CCND1;RUVBL1;ZNF567;ZNF444;ZNF564;GTF2I;PIAS4;PIAS3;MLIP;LMO2;ARID5A;ZBTB33;PIAS2;HIC1;FOXP2;MYCL;ZFP42;ERF;GLYR1;ZNF672;KMT2D;GCM1;KMT2A;TNKS;GLIS3;AEBP1;NPAS3;SLC9A1;SBNO2;ATXN7;ZKSCAN8;ABL1;CAMTA2;RIPK1;ZKSCAN1;MAP2K5;BCL9L;CBX7;CBX6;CBX5;POU2F1;ZFHX2;SMAD3;CBX4;SMURF2;WFS1;TGFB3;PHF12;PTCH1;HMGA2;POU2F2;SMAD6;ZFHX4;ESR1;DRAP1;NFKBIA;BCL9;NR4A1;DAB2;MAVS;MAFB;BCL6;BHLHE40;BCL3;TCF4;MDM4;FGFR2;ZSCAN2;NFE2L1;ZNF891;CIITA;THRB;ONECUT2;THRA;CHD8;ARRB1;FOXM1;CHD2;CDC73;IRF2BPL;HHEX;DBP;BCL7A;PPP1R13L;ZNF529;TRPS1;NOS1;LRRFIP1;ZNF764;NKX3-1;PELP1;KLF10;KLF12;ETV1;VEZF1;ARID1A;KLF15;TNFRSF1A;ETV6;FOXD4L5;ELF3;ELF4;CTDSP1;ELF5;IRF2;CRY1;CDH13;IRF5;FBP1;MET;HDAC5;NFAT5;KDM3B;ATF6B;WBP2;CEBPG;LEF1;RNF4;NR2C2;HDAC6;AURKB;MLLT6;REPIN1;IFI16;ZNF627;ZNF746;E2F2;E2F4;ZNF500;HES2;FNIP2;MAPK3;MLXIP;SPEN;TCF7L2;TCF7L1;MACC1;USP22;FOXJ2;ATP2B4;ARID3A;TBX6;ARID3B;SOD2;MEIS2;USF1;KLF8;TNIP1;TNIP3;BCOR;LPIN1;SSBP2;PFKM
Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	62/231	2.44793122358441E-9	3.817140754642623E-6	0	0	2.6152629632513236	51.855493055639414	GSK3A;SPI1;RTKN2;PLEK;TNFAIP3;RORA;ARRB2;SLA2;LIMD1;SPRED3;SPRED2;SPRED1;PPP2R1A;DAG1;TNFAIP8L1;DUSP5;DUSP3;TLE1;MAGI2;TSC2;CIT;DUSP7;AKT1S1;MYADM;TRIM59;CACTIN;PPARA;VGLL4;EPHA2;PRKAA1;SLC24A4;PHLPP1;LRP1;SRC;NPRL3;PRDM15;ITPR1;PIK3R2;UBR1;THBS1;SLC9A3R1;NUAK1;NUAK2;TSPAN6;RIPK1;SLIT2;RFFL;LYN;ATP2B4;NR1D1;LILRB4;ESR1;P2RX7;PER1;TNIP1;VEPH1;TNIP3;PDE3A;BCL2;GPD1L;CD22;BCL2L1
Regulation Of Cell Migration (GO:0030334)	97/434	5.126799389040142E-9	4.176655770661402E-6	0	0	2.061668331705433	39.35474202690121	SEMA5A;SERPINE2;TNC;ADARB1;MYLK;CXCL16;FGF5;FGF9;AKT2;DAG1;TNR;SEMA6B;LIMCH1;SEMA6D;APLP2;MAGI2;ACTN4;RUFY3;SPATA13;MYADM;ADAM9;EPHA2;SEMA7A;PIK3R3;FUT3;PODXL;PDGFC;ZNF703;PLXNA2;PLXNA1;SRGAP3;SRGAP1;PLXNA4;ARSB;CCR1;NGFR;XBP1;JAG1;FZD4;INSR;IGF1;PTK2;COL1A1;VIL1;IGSF10;DAB2;CXCL12;CNTN1;PLXNB1;PTPRT;CITED2;FLT4;PIK3CD;LAMC2;ROBO1;PPP3CA;ITGAX;APPL1;PLEKHG3;DUSP3;SPHK1;MINK1;NOG;RHOC;RAP2B;NAV3;MMRN2;NUMB;PECAM1;CDH13;SGK3;ENG;KANK1;SEMA3C;SEMA3D;SRC;LEF1;AIF1;THBS1;PPM1F;CDC42;RELN;GCNT2;CCL3;SLIT2;RFFL;SASH1;SEMA4A;CD74;NTRK3;SULF1;SOD2;TJP1;SH3RF2;EPPK1;LGR6;TRIM32
Regulation Of DNA-templated Transcription (GO:0006355)	322/1922	5.208130929005648E-9	4.176655770661402E-6	0	0	1.4737948895027624	28.109755942264126	ZNF296;SPI1;SMARCB1;GFI1;FOXI3;IKZF2;IKZF3;ELK1;ACTB;SPIB;ELK4;RPS6KA4;ZMIZ1;PPP2R1A;ZMIZ2;CREB3L1;MYC;CHEK2;GPBP1;CREB3L2;DPF2;ZNF844;PKNOX1;BTRC;JUNB;TRIM22;SOX4;SOX5;MED1;DAXX;SP110;SOX13;EBF1;RUNX3;RUNX2;HCFC1;RFX7;RFX4;ATF7;ZFPM2;ATF6;TP53;ATF4;L3MBTL1;ZNF396;ZNF395;ZBTB8A;SRCAP;EPAS1;MAGED1;PRDM15;BAZ2A;GATA3;PRDM11;ZBTB4;HIF1A;DEDD2;POU5F1B;CYP27B1;ZNF704;ZSCAN10;ZNF703;HIVEP1;APOE;HIVEP2;PATZ1;PPARGC1A;ZBTB7A;RREB1;PPARGC1B;ZBTB7C;ZBED3;WWTR1;XBP1;ZNF383;FZD4;BCL11A;SNAI3;INSR;PYHIN1;SETDB2;NFATC1;PBX4;IGF1;NR1D1;PBX1;FLI1;POU6F1;COL1A1;MLLT11;TADA2A;REL;RCOR3;SIM2;HLA-DRB1;CC2D1B;CSRNP2;BTG1;ZNF492;CITED2;SUV39H1;TCF23;NKAP;TCF21;TFCP2L1;BRCA1;HIF3A;LIMD1;MED12;MECOM;SUFU;CIC;BRD3;BRD2;ZHX2;ZNF362;ZHX3;PROX1;ZNF57;ZHX1;CBFA2T3;MLF2;POU5F2;KAT2A;NCOR1;NR5A2;DEPDC1;RARA;PPARA;PLCB1;ZNF114;VGLL4;PPARD;VGLL3;ENG;ZNF232;PURA;MNT;CUX1;SHOX;PLAGL2;APBB2;STAT6;BRD8;TBL1X;ZNF345;RUNX1T1;BRD4;ZNF101;CD74;ARNT2;PCGF6;STAT2;ATAD2;GATAD2B;HIPK2;GATAD2A;PER1;CENPF;GFI1B;TFAP4;NFIA;NFIB;NFIC;ZNF219;FOSB;ZNF579;MAMLD1;MPHOSPH8;ZNF212;ZNF575;CCNT1;PRDM2;RORA;PRDM1;JADE2;CELSR2;ETS1;TNF;LOXL2;YY1;POFUT1;RUVBL1;ZNF567;ZNF444;ZNF564;PIAS4;PIAS3;TLE1;ARID5A;ATP1B4;ZBTB33;PIAS2;HIC1;FOXP2;SUPT7L;MYCL;ZNF318;ZFP42;ERF;ZNF672;KMT2D;GCM1;KMT2A;GLIS3;ZFP36L2;NPAS3;SBNO1;SBNO2;ATXN7;ZKSCAN8;ABL1;CAMTA2;WNT1;ZKSCAN1;CBX5;POU2F1;ZFHX2;SMAD3;CBX4;SMURF2;TGFB3;NONO;PHF12;HMGA2;FOXN3;POU2F2;SMAD6;ZFHX4;ESR1;NR4A1;CNOT7;MAFB;BCL6;BHLHE40;BCL3;TCF4;MDM4;NFE2L1;MAP3K12;CIITA;ONECUT2;THRA;BNC2;CHD8;ARRB1;FOXM1;CHD2;ELAVL2;HHEX;DBP;BCL7A;PPP1R13L;TRPS1;NOS1;LRRFIP1;EID2B;NKX3-1;KLF10;KLF12;DTX3L;NRG1;ETV1;VEZF1;ARID1A;KLF15;ETV6;FOXD4L5;PTP4A3;ELF3;SETBP1;ELF4;CTDSP1;ELF5;IRF2;CRY1;IRF5;HDAC5;NFAT5;PRKAA1;KDM3B;ATF6B;WBP2;CEBPG;LEF1;TULP3;RNF4;NR2C2;HDAC6;PPM1F;MLLT6;REPIN1;IFI16;CCDC85B;ZNF627;ZNF506;ZNF746;E2F2;E2F4;ZNF500;HES2;MLXIP;SPEN;TCF7L2;TCF7L1;USP22;FOXJ2;ATP2B4;ARID3A;TBX6;ARID3B;SOD2;HNRNPAB;USF1;PML;KLF8;CD4;TNIP1;TNIP3;ZNF737;BCOR;SSBP2
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	177/938	6.19440570993066E-9	4.176655770661402E-6	0	0	1.6809226439780927	31.768797971768873	TCERG1;SPI1;SMARCB1;CRTC3;CCNT1;RORA;PRDM2;NUCKS1;ETS1;ELK1;TNF;SPIB;YY1;ELK4;RPS6KA4;ZMIZ1;MYC;ZMIZ2;JUNB;SOX4;GTF2I;MED1;MLIP;SERPINF2;LMO2;PTOV1;RUNX2;HCFC1;RFX4;ATF7;HOXB2;ZFPM2;ATF6;TP53;ATF4;GLYR1;KMT2D;GCM1;ZNF395;KMT2A;EPAS1;PRKDC;TNKS;GLIS3;PRDM15;PIK3R2;GATA3;HIF1A;SLC9A1;CYP27B1;SBNO2;PPP3R1;HIVEP1;ABL1;CAMTA2;RIPK1;PPARGC1A;RREB1;PPARGC1B;MAP2K5;ZBED3;BCL9L;WWTR1;XBP1;JAG1;POU2F1;SMAD3;TGFB3;MICAL2;HMGA2;NFATC1;IGF1;NR1D1;POU2F2;ESR1;PBX1;ST18;NFKBIA;BCL9;NR4A1;DAB2;MAVS;BCL3;REL;TCF4;NFE2L1;FGFR2;CIITA;CSRNP2;RARG;THRB;ONECUT2;ELL;THRA;CITED2;PTPRN;CHD8;TCF21;ARRB1;BRCA1;FOXM1;CDC73;IRF2BPL;MED12;PPP3CA;HHEX;DBP;NOS1;NKX3-1;PELP1;KLF10;NCOA3;VEZF1;ETV1;PROX1;KLF15;SREBF2;TNFRSF1A;RGMA;KAT2A;NR5A2;ELF3;ELF4;IRF2;RARA;TLR9;CDH13;IRF5;ARHGEF2;PPARA;MET;PPARD;ENG;HDAC5;NFAT5;ATF6B;WBP2;DOT1L;CEBPG;LEF1;WAS;RNF4;NR2C2;IFI16;PLAGL1;SHOX;ZNF746;E2F2;STAT6;APBB2;E2F4;BRD8;TBL1X;MEF2D;BRD4;MAPK3;MLXIP;ARNT2;TCF7L2;TAF13;STAT2;MACC1;ATAD2;FOXJ2;LILRB1;MEIS2;USF1;HIPK2;PER1;TNIP1;NFIA;NFIB;APEX1;NFIC;LPIN1;SSBP2;PFKM
Cellular Response To Cytokine Stimulus (GO:0071345)	75/308	6.2498055567827724E-9	4.176655770661402E-6	0	0	2.298461571216425	43.41958359412883	PTPRT;GSK3B;GSK3A;BRCA1;MYLK3;IL27RA;GHR;ZFP36;CCR7;LGALS9;LDLRAP1;JAK3;IL13RA1;NKX3-1;GBP6;MME;RC3H1;RPL13A;PRLR;TNFRSF1A;HCK;PDE12;IL3RA;IRF5;ARHGEF2;CACTIN;NFAT5;SELPLG;PDE1B;LEF1;AKAP6;CSF2RB;GATA3;LILRA1;LILRA2;CBL;IL2RG;HIF1A;AIF1;CSF2RA;LRP8;LILRA4;ZFP36L2;ZFP36L1;SBNO2;IFI16;CCL4;CCL3;ST3GAL6;STAT6;RIPK1;IL12RB1;DUOX2;GBP4;SOCS5;CCR1;SLC12A2;XBP1;CCL22;PYHIN1;LILRB1;PTPN11;NR1D1;LILRB2;LILRB4;NFKBIA;CD4;CXCL12;AXL;CLCF1;PTPN6;PLP2;CALM1;IL7R;SLC26A6
Negative Regulation Of Signal Transduction (GO:0009968)	67/267	1.1152195714889902E-8	6.52124644428187E-6	0	0	2.3887556654305726	43.74200855212092	PTPRT;OTUD4;GSK3A;IRS1;HHIP;PLEK;TNFAIP3;ARRB1;TNF;TSKU;HHEX;UBASH3B;CREB3L1;SUFU;ENPP1;DACT3;BTRC;APPL1;NKX3-1;PHACTR4;TLE1;NOG;TSC2;NRG1;RPGRIP1L;HIC1;HGS;MMRN2;TYRO3;TLR9;CRY1;CACTIN;VGLL4;PLIN5;TRABD2A;KANK2;CX3CR1;KANK1;LRP1;TULP3;GATA3;LILRA2;CXXC4;THBS1;SLC9A3R1;ERBB3;INPP5D;TSPAN6;ZBTB7A;SOCS5;LYN;PTPN1;PTPN18;CADM4;GPR108;PTCH1;PTCH2;NR1D1;PTPN12;SULF1;SULF2;PTPRC;NEDD4;BCL2;MEGF8;LGMN;GRINA
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	110/525	2.1467328296000026E-8	1.1158240196520904E-5	0	0	1.9002284305005257	33.551827312810474	SEMA5A;RTKN2;TNF;TFG;PLCE1;TRIM25;LGALS9;TRIM22;TGM2;ARRDC3;TICAM1;MID2;DOK3;NUPR1;TP53;CARD11;ANKRD17;GATA3;ADRB2;AGER;PIK3R5;SLC9A3R1;TSPAN6;PDGFC;HMOX1;RIPK1;ECT2;LYN;NDFIP1;CAV2;TGFB3;INSR;IGF1;PTK2;DAB2;MAVS;PTPRC;REL;CNTN1;PLXNB1;RPS20;TAB2;HPSE;HLA-DRB1;MYD88;FGFR2;FGFR1;BCAR3;DDR1;HIP1;SLC44A2;FLT4;DUSP19;PIK3CD;SECTM1;PIK3CG;TRIM8;CASP10;TRIM68;ITGAV;CCR7;NKX3-1;MAP4K1;TRIM62;KSR1;VWF;FCRL3;SPHK1;RHOC;TIRAP;TNFRSF1A;TRAF7;PTP4A3;TLR9;RAPGEF2;CDH13;TLR7;LTB;TMEM106A;ENG;CX3CR1;NFAT5;NLGN1;SRC;SLC20A1;CBL;THBS1;RELN;ERBB3;CCL4;GCNT2;CCL3;RICTOR;EXTL3;LURAP1;SASH1;BRD4;NTRK2;CD74;TCF7L2;NTRK3;LAPTM5;FKBP1A;CD4;P2RX3;AXL;NEDD4;PTPN6;PIK3AP1;TRIM32
Negative Regulation Of Epithelial Cell Proliferation (GO:0050680)	27/70	2.7194961868988627E-8	1.272180316231288E-5	0	0	4.444726199790726	77.42817093834016	SPARC;MAGED1;PTPRM;GATA3;THBS1;CDC73;ROBO1;CYP27B1;ALOX5;MARVELD3;KRIT1;APOE;B2M;NKX3-1;MED1;CAV2;TINF2;VASH1;MCC;SULF1;RUNX3;MTSS1;TGFBR3;NFIB;EPPK1;NUPR1;FGFR2
