Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Positive Regulation Of Cytokine Production (GO:0001819)	91/320	3.225047771586435E-11	1.591883580055064E-7	0	0	2.425882427127836	58.60322625324195	CD86;FCN1;ITK;TRAF3IP3;CD80;BRCA1;PARK7;HMGB1;PNP;TBK1;CASP1;FLOT1;CYP1B1;TRIM27;IKBKE;CCR2;HAVCR2;HLA-DPA1;ANXA1;SYK;SLC11A1;PDE4D;SERPINF2;IL16;HLA-A;TICAM1;HLA-G;HLA-E;FGR;SLC7A5;IFNG;IL23A;TRAF3;DDIT3;IL1B;RARA;TLR8;CD226;PRKCQ;IRF5;ARHGEF2;LTB;TLR5;TLR4;GAPDH;ATF4;PTGER4;RAB1A;CEBPB;STOML2;TMED10;DHX9;NOD2;LILRA2;PTGS2;HIF1A;AIF1;TANK;HSPD1;C3;C5;CLEC7A;HMOX1;RIPK1;TNFRSF14;CD14;FADD;CD58;IL12RB1;SPTBN1;SLAMF1;XBP1;CADM1;LAPTM5;OSM;EIF2AK2;LILRB1;PTPN11;LILRB2;SULF1;POU2F2;BATF;SULF2;IL6;MAVS;CD4;PTPRC;RGCC;IL7;CD200;HSPA1B
Cellular Response To Cytokine Stimulus (GO:0071345)	86/308	3.075271116201288E-10	7.589769114784778E-7	0	0	2.3615972729486243	51.72478476414341	PTPRT;GSK3B;IFITM2;FLT3;LRRK2;TRADD;CIB1;BRCA1;IFIT1;YBX3;MYLK3;GHR;MT2A;ZFP36;CASP1;LDLRAP1;CCR2;HLA-DPA1;IL13RA1;GBP6;MME;DUSP1;FOXH1;RPL13A;IRAK3;OSMR;TNFRSF1A;AIM2;HAX1;OAS1;PDE12;IL1B;IRF5;ARHGEF2;CD47;CACTIN;GAS6;TLR4;GAPDH;CEBPA;ASAH1;ASAH2;DHX9;PDE1B;SHMT1;STK39;CXCR4;AKAP6;LILRA1;LILRA2;HIF1A;AIF1;LILRA3;TANK;CSF2RA;ZFP36L1;SBNO2;CCL5;CCL4;CCL3;ST3GAL6;STAT6;RIPK1;CD58;IL12RB1;GBP2;GBP1;DUOX2;SLC12A2;XBP1;CCL22;PNPT1;PYHIN1;LILRB1;PTPN11;LILRB2;NFKB1;NFKBIA;IL6;CD4;CXCL12;AXL;IL7;MNDA;PLP2;IL7R
Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478)	19/31	2.1210406463634635E-9	2.838839982888703E-6	0	0	9.541783954961295	190.5623928437323	HLA-DRB5;HLA-A;IFI30;HLA-F;CTSS;HLA-E;CLEC4A;HLA-DMA;MFSD6;HLA-DMB;HLA-DRA;FCGR2B;HLA-DRB3;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;LGMN
Positive Regulation Of T Cell Activation (GO:0050870)	40/107	2.6628210194116245E-9	2.838839982888703E-6	0	0	3.6129878787558134	71.33439818929347	CD86;SMARCB1;CD81;CD80;ZBTB1;NOD2;AIF1;HSPD1;HLA-DMA;PNP;HLA-DMB;FCHO1;CCL5;NCK2;FLOT2;B2M;HLA-DOB;HLA-DQA2;HLA-DQA1;CCR2;HLA-DPA1;HLA-DRB5;XBP1;ANXA1;ACTL6A;RHOH;HLA-A;LILRB2;ARID1A;IL6;PTPRC;IL23A;IL7;LCK;IL1B;HLA-DRA;PRKCQ;CD47;HLA-DRB3;HLA-DRB1
Apoptotic Process (GO:0006915)	67/228	2.875648280884018E-9	2.838839982888703E-6	0	0	2.5287683901172433	49.73325682234106	NCKAP1;FASTKD2;TRADD;ITGB2;PRF1;NUDT2;CIB1;AHR;AIFM2;CASP10;FAM162A;RFK;DPF2;CASP2;PHLDA2;IFT57;ZNF443;ZNF385A;IER3;DAPK2;KREMEN1;EMP1;TSC2;EMP2;CIT;RHOB;TGFBR2;TRAF7;MELK;IFI27;IFNG;IL1B;DDIT4;NDUFS1;PPIA;GAPDH;MCM2;PPP1R15A;IFI6;CXCR4;FOXO1;RTN4;STK3;HSPD1;BCLAF1;BCL2L11;ERBB3;PMAIP1;BNIP2;RIPK1;CD14;FADD;NLRP1;RELT;BCL2L14;PLK3;EGLN3;BIK;BAD;FEM1B;GZMA;TNFRSF10B;NFKBIA;CDK5;ERCC2;SCN2A;OGT
Regulation Of Apoptotic Process (GO:0042981)	157/705	4.679391312847889E-9	3.8495792533695295E-6	0	0	1.7578627769619488	33.71597997554236	PDCD5;YEATS4;CIB1;PARK7;CLU;IKZF3;IFIT3;COMP;LGALS2;HMGN5;LGALS1;FAM162A;AKT2;ARHGDIA;RUVBL1;TNFSF10;CYP1B1;PIM3;SKP2;TMEM14A;SOX4;IER3;TGM2;MED1;MEF2C;DAPK2;ACTN1;WDR73;FBXO11;MELK;BIN1;MORF4L2;PPIF;YME1L1;NUPR1;TP53;CARD14;PPIA;ATF4;VCP;ANP32A;GLO1;HTRA4;PIK3R1;FOXO1;RTN4;MTDH;HSP90B1;SAV1;STK3;SOCS2;SOCS3;BCL2L11;SCIN;FIGNL1;PMAIP1;RIPK1;FADD;ECT2;ZBTB7A;HSPA9;PLK3;MOAP1;JUN;PRELID1;XBP1;STIL;OPN3;GADD45B;HSPA5;API5;WFS1;PLK2;SIAH2;PLK1;TNFRSF10B;PA2G4;IGF1;SMAD6;NFKB1;PTK2;MLLT11;IL6;SON;BCL6;CDK5;IL7;PPT1;CDK1;ANP32E;CD27;ITGB1;GSK3B;RARG;TNFAIP8;FLT3;TRADD;HMGB1;TRIAP1;AIFM2;CTSH;CASP2;IFT57;CTNNBL1;HTATIP2;HSP90AA1;ANXA1;ANXA4;ACTL6A;RPS3A;DUSP6;NME1;RHOB;DNAJC3;HAX1;TMBIM4;AKT1S1;CAT;TAX1BP1;ITGA6;IRF5;ANGPTL4;GAS6;SGK1;CD44;BIRC3;MCM2;HDAC2;PRKAA1;PHLPP1;BCL2A1;GSTP1;IFI6;THBS1;HSPD1;BCLAF1;MAPK8;ERBB3;FLNA;BNIP2;RICTOR;MAP4K4;SNCA;EGLN3;BIK;BAD;GZMA;LILRB1;PNMA3;DNAJA1;TFAP4;AXL;STK17B;TRIM35;MNDA;EVI2B;HSPA1B
Negative Regulation Of Cytokine Production (GO:0001818)	55/178	1.0703844729939618E-8	6.685981605292633E-6	0	0	2.711611007770805	49.76528257739574	CD84;ABCD2;TNFAIP3;HMGB1;RPS6KA4;ZFP36;TRIM27;CD34;CD33;HAVCR2;SRGN;ANXA1;APLP2;SLC11A1;ANXA4;IRAK3;ATG12;CLEC4A;IFNG;NAV3;IL23A;DDIT3;RARA;TLR8;EZR;CACTIN;GAS6;PPARA;TRIB2;TLR4;PTGER4;C5AR2;HDAC9;THBS1;EXTL3;GBP1;ATG5;SLAMF1;PRNP;NMB;BTN2A2;LAPTM5;LILRB1;PTPN11;ATP2B1;KLF4;IL6;NPLOC4;PTPRC;RGCC;AXL;XAF1;FCGR2B;CD200;HLA-DRB1
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	123/525	1.0836274887022096E-8	6.685981605292633E-6	0	0	1.870351493082433	34.30293195131266	SEMA5A;CD86;CD81;RTKN2;PARK7;NR3C2;TBK1;LGALS1;TNFSF10;PLCE1;TRIM22;TGM2;TICAM1;MID2;DOK2;DOK3;IL23A;DDIT3;ADAM8;S100A4;CARD16;NUPR1;S100A9;TP53;PPIA;S100A8;IQGAP1;TXN;RTN4;MTDH;CLEC7A;TSPAN6;DHX36;HMOX1;S100A12;PMAIP1;RIPK1;FADD;ECT2;OSBPL8;SMAD4;PLK2;IGF2;EIF2AK2;TNFRSF10B;IGF1;PTK2;BST2;IL6;MAVS;PTPRC;REL;CD27;RPS20;TAB2;MAP3K14;HLA-DRB1;FGFR2;FGFR1;BCAR3;ITGB1;GPR89A;HSP90AB1;FLT3;SLC44A2;TRADD;DUSP19;HMGB1;CASP10;CASP1;IKBKE;MAP4K1;HSP90AA1;KSR1;VWF;TNFRSF1A;FGR;TRAF7;PTP4A3;HAX1;LCK;IL1B;TRAF5;PELI1;RAPGEF2;CDH13;ITGB1BP1;LTB;GAS6;HCST;GAPDH;TLR4;ENG;HBEGF;BIRC3;DDX21;NOD2;THBS1;BCLAF1;RELN;ERBB3;CCL5;CCL4;CCL3;FLNA;RICTOR;EXTL3;RPL17;BRD4;P2RY12;BCAP31;NTRK2;NTRK3;LAPTM5;OSM;P2RX5;CD4;P2RX3;AXL;TNIP2;NEDD4;LAMTOR3;LIMS1
Cellular Response To Molecule Of Bacterial Origin (GO:0071219)	41/117	1.514685432177402E-8	8.307208103586284E-6	0	0	3.2641983949234787	58.773435942648995	CD86;CXCL9;CD80;GSTP1;CTR9;HMGB2;TNFAIP3;AHR;HMGB1;NOD2;CXCL2;CDC73;CXCL5;ZFP36;SBNO2;MAPK8;CASP1;CD14;GBP2;MEF2C;XBP1;PEX2;LILRB1;PPBP;LILRB2;TICAM1;TNFRSF1B;NFKB1;IL6;AXL;TNIP2;IL1B;TNIP3;ADAM9;PLAA;CARD16;VIM;CACTIN;FCGR2B;TLR4;CHMP5
Positive Regulation Of Lymphocyte Activation (GO:0051251)	23/47	1.6980962994597796E-8	8.381803334133472E-6	0	0	5.779378083157153	103.39985279573337	HLA-DRB5;SH3KBP1;NOD2;TICAM1;HSPD1;HLA-DMA;IL6;HLA-DMB;FCHO1;CLEC7A;IL23A;LCK;TNIP2;HLA-DRA;PRKCQ;CD47;HLA-DRB3;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DRB1;CCR2;HLA-DPA1
Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039)	22/44	2.099226022381015E-8	8.67195034372102E-6	0	0	6.02923564635435	106.59153243468236	HLA-DRB5;ITGB2;ETS1;HSPD1;HLA-DMA;IL6;FUT7;HLA-DMB;NR4A3;FCHO1;LCK;HLA-DRA;PRKCQ;CD47;HLA-DRB3;HLA-DOB;HLA-DQA2;HLA-DQA1;CD44;HLA-DRB1;CCR2;HLA-DPA1
Cytoplasmic Translation (GO:0002181)	35/93	2.1082537302401187E-8	8.67195034372102E-6	0	0	3.647381457891012	64.46681349379936	RPL4;EIF4A1;RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL11;RPL6;RPL7;RPL7A;RPS14;RPS16;RPS15A;RPL14;RPL35;RPL13;RPL15;RPS11;RPS27A;RPL17;RPS13;RPL19;RPL21;RPS7;RPS8;RPL13A;RPL35A;RPS3A;RPSA;RPS20;RPS24;RPS23
Cellular Response To Lipopolysaccharide (GO:0071222)	42/124	3.145081860558082E-8	1.186008003530231E-5	0	0	3.0991529603128596	53.537374082799545	CD86;CXCL9;CD80;GSTP1;CTR9;HMGB2;TNFAIP3;HMGB1;NOD2;CXCL2;CDC73;CXCL5;MTDH;ZFP36;SBNO2;MAPK8;CCL5;CASP1;CCL3;CD14;GBP2;MEF2C;XBP1;PEX2;LILRB1;PPBP;LILRB2;TICAM1;TNFRSF1B;NFKB1;IL6;AXL;TNIP2;IL1B;TNIP3;ADAM9;PLAA;CARD16;VIM;CACTIN;TLR4;CHMP5
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	53/174	3.3638800748426325E-8	1.186008003530231E-5	0	0	2.6546172682536318	45.67955401688079	RPL5;SLC27A1;LPGAT1;HSP90AB1;IRS1;FMR1;HBB;PARK7;CLU;ELAVL1;RBM3;EPM2AIP1;CDH3;AKT2;CD36;SOX4;ADSL;HSP90AA1;ELOVL5;NSUN5;CIRBP;SIRT7;ZEB2;IFNG;IL1B;TLR4;PLIN5;NNMT;RPS27L;PTGS2;HIF1A;THBS1;FOXO1;FXR2;CLEC7A;CCL5;PPARGC1A;SNCA;OPN3;SSB;IGF2;IGF1;LARP4;KLF4;LARP6;KLF2;IL6;RGCC;HNRNPD;VIM;FGFR4;EIF3C;OGT
