Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoplasmic Translation (GO:0002181)	35/93	3.0163562360842494E-26	8.961594377406305E-23	0	0	16.26852479659047	955.989972101988	RPL4;RPL5;RPL3;RPL32;RPL10;RPLP1;RPLP0;RPL11;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS16;RPS15A;RPL14;RPL35;RPL13;RPL15;RPS11;RPS27A;RPL17;RPL21;RPS8;RPS5;RPL22;RPL13A;RPS3A;RPSA;RPL23A;RPL27A;RPS24;RPS23
Macromolecule Biosynthetic Process (GO:0009059)	44/183	1.56650323752739E-23	2.3270405593469377E-20	0	0	8.606649815282909	451.94044253540744	RPL4;RPL5;RPL3;RPL32;RPL10;RPLP1;RPLP0;RPL11;RRBP1;RPL10A;TYMS;RPL9;RPL6;RPL7;EEF1B2;RPS4X;RPS14;RPL7A;RPS16;RPS15A;FUT9;POLD2;RPL14;RPL35;EIF4EBP2;RPL13;APOE;RPL15;RPS11;RPS27A;RPL17;RPL21;RPS8;RPS5;RPL22;RPL13A;RPSA;RPS3A;RPL23A;EEF1A1;EEF1G;RPL27A;RPS24;RPS23
Peptide Biosynthetic Process (GO:0043043)	39/158	1.9368461967396817E-21	1.9181233501711983E-18	0	0	8.857071642216209	422.4223193038593	RPL4;RPL5;RPL3;RPL32;RPL10;RPLP1;RPLP0;RPL11;FURIN;RRBP1;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPS15A;RPL14;RPL35;EIF4EBP2;RPL13;RPL15;RPS11;RPS27A;RPL17;RPL21;RPS8;RPS5;RPL22;RPL13A;RPSA;RPS3A;RPL23A;EEF1A1;RPL27A;RPS24;RPS23
Translation (GO:0006412)	40/234	6.259965165834595E-16	4.649589126923646E-13	0	0	5.558261275317517	194.5790911227142	RPL4;RPL5;RPL3;RPL32;RPL10;RPLP1;RPLP0;RPL11;RRBP1;RPL10A;RPL9;RPL6;RPL7;EEF1B2;RPS4X;RPS14;RPL7A;RPS16;RPS15A;RPL14;RPL35;RPL13;EIF4EBP2;RPL15;RPS11;RPS27A;RPL17;RPL21;RPS8;RPS5;RPL22;RPL13A;RPSA;RPS3A;RPL23A;EEF1A1;EEF1G;RPL27A;RPS24;RPS23
Gene Expression (GO:0010467)	43/296	2.0672070144994838E-14	1.2283344080155934E-11	0	0	4.58700143729788	144.53638260264756	RPL4;RPL5;RPL3;RPL32;RPL10;RPLP1;RPLP0;RPL11;FURIN;RRBP1;ADARB1;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPS15A;RPL14;RPL35;RPL13;EIF4EBP2;RPL15;RPS11;RPS27A;RPL17;RPL21;RPS8;RPS5;RPL22;RPL13A;RPSA;RPS3A;RPL23A;EEF1A1;DDX39B;NOVA1;RPL27A;HNRNPD;RPS24;RPS23
Regulation Of Cell Cycle Process (GO:0010564)	25/130	1.2918234218348515E-11	6.396678977118907E-9	0	0	6.314470386492547	158.31880922078182	SMARCD2;SMARCB1;CDCA2;KIF11;MKI67;RACGAP1;MYC;RCC1;FBXO5;SOX9;BUB1;RPL17;BORA;SPAG5;PLK1;CDC25C;SMARCA2;DBF4;PRC1;CALM3;KIF2C;KIF20A;INSM1;KIF20B;MCM2
Positive Regulation Of Cell Cycle Process (GO:0090068)	21/118	2.476760252188898E-9	9.303233522029191E-7	0	0	5.712362613955866	113.19797398601298	PLK4;RANBP1;EDN1;CENPV;RRM1;SPAG5;CXCR5;CDCA8;NCAPG;NCAPH;SMC2;CIT;RGCC;DBF4;RACGAP1;INCENP;RAD21;NUSAP1;NCAPD2;KIF20B;MAD2L1
Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666)	9/17	2.505078026800186E-9	9.303233522029191E-7	0	0	29.336890243902438	581.0155257527488	CDC20;RPL5;UBE2C;UBE2S;PLK1;RPL11;FBXO5;RPL17;MAD2L1
Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850)	15/59	2.8827469999276267E-9	9.51626815198331E-7	0	0	8.946069299552907	175.9201781467678	PLK1;CDCA8;TTK;KIF11;CKAP5;CENPE;CCNB1;INCENP;KIF4A;STMN1;NUSAP1;CDK1;TACC3;RCC1;DLGAP5
Mitotic Sister Chromatid Segregation (GO:0000070)	20/111	4.747137755801363E-9	1.410374627248585E-6	0	0	5.79288661819611	111.02486596163786	SPAG5;CDCA5;PLK1;CDCA8;NCAPG;KIF11;NCAPH;ZWINT;SMC2;TPX2;CENPE;CCNB1;KIFC1;PRC1;NUSAP1;CEP192;KIF2C;NCAPD2;CEP55;DLGAP5
Mitotic Cytokinesis (GO:0000281)	14/59	2.5451106948028988E-8	6.8741126129631014E-6	0	0	8.152554191299075	142.55969267206973	ARL3;PLK1;CKAP2;CDCA8;CENPA;CIT;ANLN;RACGAP1;INCENP;KIF4A;STMN1;NUSAP1;KIF20A;CEP55
Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444)	8/17	6.575746923704747E-8	1.6280453425272338E-5	0	0	23.147195910389414	382.7919509863529	CDC20;RPL5;RPL11;BUB1B;FBXO5;RPL17;SMAD7;MAD2L1
Mitotic Spindle Organization (GO:0007052)	16/85	8.672995586781145E-8	1.9821130683328293E-5	0	0	6.0854497511845995	98.95225182323948	PLK1;CDCA8;TTK;KIF11;CKAP5;CENPE;TPX2;CCNB1;INCENP;KIFC1;PRC1;KIF4A;STMN1;RCC1;CEP192;DLGAP5
Regulation Of Mitotic Nuclear Division (GO:0007088)	13/56	1.0625289439591117E-7	2.254838208930372E-5	0	0	7.912362968126228	127.05232359204466	EDN1;BORA;CDCA2;MKI67;CDC25C;BMP4;TOM1L2;CCNB1;RGCC;NUSAP1;RCC1;FBXO5;KIF20B
Mitotic Chromosome Condensation (GO:0007076)	7/15	4.881644107633484E-7	9.128276833266706E-5	0	0	22.75591216216216	330.7028781252275	CDCA5;PLK1;NUSAP1;NCAPG;NCAPD2;NCAPH;SMC2
Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)	9/28	4.915935016232491E-7	9.128276833266706E-5	0	0	12.345314505776637	179.32326924644116	CDC20;PLK1;BUB1B;TTK;FBXO5;BUB1;ZWINT;SPC24;MAD2L1
Mitotic Cell Cycle Phase Transition (GO:0044772)	17/111	7.635818799024019E-7	1.334471626582374E-4	0	0	4.746473331390265	66.8552420141488	UBE2C;PLK1;CDC25C;TPD52L1;EPS8;CCNA2;CCNB2;CCNB1;DBF4;CCNE2;UBE2S;MYC;CDK1;E2F1;TACC3;RCC1;CDKN3
Cytoskeleton-Dependent Cytokinesis (GO:0061640)	14/81	1.6310460172708901E-6	2.69213206517323E-4	0	0	5.469324591232107	72.8858002501146	ARL3;PLK1;CKAP2;CDCA8;CENPA;CIT;ANLN;RACGAP1;INCENP;KIF4A;STMN1;NUSAP1;KIF20A;CEP55
Positive Regulation Of Transport (GO:0051050)	11/50	1.8089029796715439E-6	2.8285530276863985E-4	0	0	7.363224637681159	97.36237299652204	DAB2;CDH3;ANXA1;ANXA2;SPAG5;FLOT1;GPC3;DOC2B;APOE;SGK1;SNCA
Extracellular Matrix Organization (GO:0030198)	21/176	2.7439334775082667E-6	3.879072761388739E-4	0	0	3.5640095974406827	45.64112778329875	COL18A1;ECM2;GSN;ELN;COL11A1;COL23A1;FURIN;MMP14;CCDC80;COL1A2;FLRT2;MMP16;COL4A1;CREB3L1;SPOCK2;COL5A2;COL8A2;SERPINH1;FLOT1;ADAMTS9;RECK
Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)	12/63	3.127441835017432E-6	3.879072761388739E-4	0	0	6.147098839535814	77.9162923697855	CDC20;CCNB1;RRM1;ANXA1;RRM2;RGCC;UBE2C;CDCA5;CDK1;FBXO5;CDC25C;DLGAP5
Spindle Assembly Checkpoint Signaling (GO:0071173)	8/26	3.133549184561755E-6	3.879072761388739E-4	0	0	11.568185235302963	146.60759407814732	CDC20;PLK1;BUB1B;TTK;BUB1;ZWINT;SPC24;MAD2L1
Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	8/26	3.133549184561755E-6	3.879072761388739E-4	0	0	11.568185235302963	146.60759407814732	CDC20;PLK1;BUB1B;TTK;BUB1;ZWINT;SPC24;MAD2L1
Mitotic Spindle Checkpoint Signaling (GO:0071174)	8/26	3.133549184561755E-6	3.879072761388739E-4	0	0	11.568185235302963	146.60759407814732	CDC20;PLK1;BUB1B;TTK;BUB1;ZWINT;SPC24;MAD2L1
Positive Regulation Of Chromosome Separation (GO:1905820)	6/13	3.6464042688131687E-6	4.1786707063574106E-4	0	0	22.262579525737422	278.76687833824167	INCENP;CDCA8;NCAPG;NCAPD2;NCAPH;SMC2
Negative Regulation Of Ubiquitin Protein Ligase Activity (GO:1904667)	5/8	3.6568643004137554E-6	4.1786707063574106E-4	0	0	43.23899371069182	541.3048340770308	RPL5;RPL11;FBXO5;RPL17;MAD2L1
