Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Defense Response To Virus (GO:0051607)	57/189	1.1920558841094037E-38	3.7394793084511997E-35	0	0	13.59236214605067	1186.919778622216	IFITM3;IFITM1;IFITM2;IFIT5;DDX60L;IFIT1;IFI44L;IFIT3;IFIT2;OASL;IFIH1;TRIM5;DHX58;CASP1;TRIM25;TRIM26;TRIM21;BNIP3L;GBP5;RAB2B;MORC3;RSAD2;PLSCR1;IFI27;OAS1;OAS2;IRF1;OAS3;IFIT1B;IRF7;TLR3;TRIM56;IFI6;NLRC5;DDX60;USP18;IGF2BP1;GBP2;APOBEC3C;APOBEC3F;APOBEC3G;MLKL;STAT1;MX2;STAT2;MX1;EIF2AK2;ISG15;PML;BST2;ISG20;CXCL10;MOV10;ZNFX1;F2RL1;MYD88;BCL2L1
Defense Response To Symbiont (GO:0140546)	49/148	1.572770236067822E-35	2.466890115272379E-32	0	0	15.404301918865025	1234.4643971384785	IFITM3;IFITM1;IFITM2;IFIT5;DDX60L;IFIT1;IFI44L;IFIT3;IFIT2;OASL;IFIH1;TRIM5;CASP1;BNIP3L;GBP5;RAB2B;RSAD2;PLSCR1;IFI27;OAS1;OAS2;IRF1;OAS3;IFIT1B;IRF7;TLR3;TRIM56;IFI6;NLRC5;DDX60;IGF2BP1;GBP2;APOBEC3C;APOBEC3F;APOBEC3G;MLKL;STAT1;MX2;STAT2;MX1;EIF2AK2;ISG15;BST2;ISG20;MOV10;ZNFX1;F2RL1;MYD88;BCL2L1
Negative Regulation Of Viral Process (GO:0048525)	29/61	6.492519255929603E-27	6.789010968617055E-24	0	0	27.416193181818183	1653.1730595723143	IFITM3;IFITM1;IFITM2;IFIT5;ZC3HAV1;IFIT1;OASL;IFIH1;ZFP36;CCL5;TRIM21;APOBEC3C;APOBEC3F;RSAD2;APOBEC3G;STAT1;MX1;EIF2AK2;ISG15;BST2;ISG20;FAM111A;PLSCR1;ZNFX1;OAS1;TNIP1;OAS2;OAS3;TRIM14
Negative Regulation Of Viral Genome Replication (GO:0045071)	25/53	2.883956816749943E-23	2.2617431335361428E-20	0	0	26.848297730307078	1393.4345427280946	IFITM3;IFITM1;IFITM2;IFIT5;ZC3HAV1;IFIT1;OASL;IFIH1;CCL5;APOBEC3C;APOBEC3F;RSAD2;APOBEC3G;MX1;EIF2AK2;ISG15;BST2;ISG20;FAM111A;PLSCR1;ZNFX1;OAS1;TNIP1;OAS2;OAS3
Response To Cytokine (GO:0034097)	33/125	8.187328948327294E-21	5.136730182180544E-18	0	0	10.885903854066658	503.49155105672946	IFITM3;CD274;IFITM1;CIITA;IFITM2;CXCL16;RELB;CYP27B1;IRAK2;LAMP3;LGALS9;TIMP1;JAK2;TRIM21;SNCA;CD74;ANXA1;MME;IL1R1;STAT1;MX2;MX1;EIF2AK2;ISG15;PML;NFKB2;BST2;PLSCR1;COL3A1;XAF1;MYD88;BCL2L1;TRIM56
Regulation Of Viral Genome Replication (GO:0045069)	25/67	3.4415935073613163E-20	1.799379805432075E-17	0	0	17.885884883548435	801.5696543031149	IFITM3;IFITM1;IFITM2;IFIT5;ZC3HAV1;IFIT1;OASL;IFIH1;CCL5;APOBEC3C;APOBEC3F;RSAD2;APOBEC3G;MX1;EIF2AK2;ISG15;BST2;ISG20;FAM111A;PLSCR1;ZNFX1;OAS1;TNIP1;OAS2;OAS3
Response To Type II Interferon (GO:0034341)	23/80	8.466630173331363E-16	3.794259836248641E-13	0	0	12.077694235588972	419.1591431848489	IFITM3;GBP5;CD74;CIITA;IFITM1;IFITM2;STAT1;CX3CL1;CXCL16;BST2;CYP27B1;CCL5;CASP1;CCL2;LGALS9;CD47;GBP2;TRIM21;TLR4;GBP1;GBP4;HLA-DPA1;SNCA
Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478)	15/31	1.1010798215316596E-14	4.31760925018102E-12	0	0	27.775594325153374	892.7048225978762	HLA-DRB4;HLA-A;IFI30;HLA-F;CTSS;HLA-E;HLA-DMA;HLA-DMB;HLA-DRA;HLA-DOA;HLA-DRB3;HLA-DQA1;HLA-DRB1;HLA-DPA1;LGMN
Regulation Of Viral Entry Into Host Cell (GO:0046596)	16/44	3.425590255797845E-13	1.1940085147153154E-10	0	0	16.94535878867676	486.37132083722287	IFITM3;CD74;CIITA;IFITM1;IFITM2;FURIN;TRIM5;TRIM25;TRIM26;LGALS9;TRIM38;TRIM21;TRIM22;HLA-DRB1;LY6E;TRIM34
Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)	11/18	1.3459747248787444E-12	4.222322711944621E-10	0	0	46.2948606271777	1265.4192141726826	HLA-DMA;HLA-DRB4;HLA-DMB;HLA-DRA;TAPBPL;HLA-DOA;HLA-DRB3;HLA-DQA1;HLA-DRB1;TAPBP;HLA-DPA1
