Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoplasmic Translation (GO:0002181)	48/93	8.989761656318333E-24	3.9716766997614394E-20	0	0	9.663062152602324	512.7796300085063	RPL4;RPL5;RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL11;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS16;RPS15A;RPL14;RPS3;RPL35;RPL13;RPL15;RPS11;RPS27A;RPL17;RPL19;RWDD1;RPL41;RPL21;RPS7;RPS8;RPS5;RPL22;RPL13A;RPS3A;RPSA;RPL23A;EIF3I;RPL27A;RPL24;RPL22L1;RPS20;RPS24;RPS23
Translation (GO:0006412)	72/234	1.6736247121560002E-18	2.953665442590555E-15	0	0	4.0491048593350385	165.73609716278955	RPL4;MRPS17;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;MRPL34;APEH;RPL10A;RPL9;RPL6;RPL7;EEF1B2;RPS4X;RPS14;RPL7A;RPS16;RPL35;RPS11;RARS2;TSFM;MRPS26;MRPS27;RPL21;RPS7;RPS8;PABPC4;RPS5;RPL22;MRPL49;RPL13A;RPSA;RPS3A;MRPL45;MRPS6;MRPL43;MRPL52;EEF1A1;EEF1G;RPL24;RPL10;MRPS33;RPL12;MRPS34;RPL11;SRBD1;MRPL16;MRPL54;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS27A;RPL17;RPL19;ABCF1;PTCD3;RWDD1;RPL41;RPL23A;MRPL22;MRPL30;RPL27A;RPS20;RPL22L1;RPS24;RPS23
Macromolecule Biosynthetic Process (GO:0009059)	62/183	2.0056578378840347E-18	2.953665442590555E-15	0	0	4.6551174479002375	189.69864085786608	RPL4;MRPS17;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;MRPL34;RPL9;RPL6;RPL7;EEF1B2;RPS4X;RPS14;RPL7A;RPS16;RPL35;RPS11;TSFM;RPL21;RPS7;RPS8;RPS5;PABPC4;RPL22;RPL13A;RPSA;RPS3A;MRPS6;MRPL43;EEF1A1;EEF1G;MRPL52;RPL24;RPL10;MRPS33;RPL12;RPL11;SRBD1;TYMS;RPS15A;ST3GAL4;RPL14;RPS3;RPL13;APOE;RPL15;RPS27A;RPL17;ABCF1;RPL19;RPL41;RPL23A;EXT1;RPL27A;RPS20;RPS24;RPS23
Peptide Biosynthetic Process (GO:0043043)	54/158	2.0481554560115952E-16	2.2621877011648068E-13	0	0	4.702551756403758	169.87696354841452	RPL4;MRPS17;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;MRPL34;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPL35;RPS11;RPL21;RPS7;RPS8;RPS5;PABPC4;RPL22;RPL13A;RPSA;RPS3A;MRPS6;MRPL43;EEF1A1;MRPL52;RPL24;RPL10;MRPS33;RPL12;RPL11;SRBD1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS27A;RPL17;RPL19;RPL41;RPL23A;RPL27A;RPS20;RPS24;RPS23
Gene Expression (GO:0010467)	77/296	3.887766717646986E-15	3.435230671712877E-12	0	0	3.201166139796277	106.21770645067055	RPL4;MRPS17;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;ADARB1;MRPL34;RPL10A;RPL9;RPL6;RPL7;GLE1;RBM3;RPS4X;RPS14;RPL7A;RPS16;XPO1;CASP1;RPL35;KPNA4;RPS11;NUP214;RPL21;RPS7;NCBP1;RPS8;PABPC4;RPS5;RPL22;RPL13A;RPSA;THOC3;RPS3A;MRPS6;MRPL43;MRPL52;EEF1A1;PRPF4;DNAJB11;RPL24;SRSF3;RBMS1;RPL10;RBM8A;MRPS33;RPL12;RPL11;SRBD1;DEDD2;HSPD1;RBM15B;EXOSC4;RPS15A;EXOSC9;RPL14;RPS3;RPL13;RPL15;RPS27A;RPL17;RPL19;ABCF1;RPL41;GZMA;GZMB;RPL23A;RPL27A;HNRNPD;RPS20;RPS24;RPS23
Regulation Of Apoptotic Process (GO:0042981)	137/705	3.324844536722503E-14	2.4481938605400032E-11	0	0	2.2211835829793576	68.93391803782868	PDCD5;CIB1;UBE2Z;PHB2;TNF;IKZF3;ACTB;IFIT3;IFIT2;IGF1R;PYCARD;LGALS2;HMGN5;LGALS1;CCND2;CFL1;PIM3;EPC2;TMEM14A;SOX4;IER3;MAP3K5;MEF2C;DAPK2;DAPK3;BIN1;PHIP;NUPR1;SQSTM1;PPIA;GPLD1;RNF122;PPID;VCP;MEAF6;HTRA4;HTRA1;PIK3R1;MTDH;HSP90B1;SOCS2;MBTD1;SCIN;UBD;BAG1;PMAIP1;BMF;IP6K2;MCL1;HSPA9;EGR1;JUN;PRELID1;CRADD;HSPA5;AZU1;NFKB1;GADD45G;CXCL10;AHI1;DAB2;IL6;ALB;BCL3;JMY;PPT1;BCL2;ANP32E;RNPS1;PRR5;GSK3B;RBM25;DDX3X;TRADD;HSPB1;HMGB1;TRIAP1;AIFM1;PIP5KL1;ANKRD1;MLST8;CD38;CTSH;CTSD;CTNNBL1;HSP90AA1;TNFRSF12A;SPHK2;ACTL6A;RPS3A;NME1;TMBIM4;KCNMA1;IRF5;ANGPTL4;FXN;CD44;BIRC3;MCM2;LTF;USP27X;RPL10;BCL2A1;GSTP1;LEF1;HSPD1;C3ORF38;BCLAF1;RPS3;BAK1;LCMT1;CD74;NPM1;ANGPT1;SEMA4D;STAT1;BAD;GZMA;STYK1;RRP1B;DHRS2;VEGFA;RSL1D1;STK17A;APEX1;DNAJA3;STK17B;IL2RB;BAX;PTPN6;ERCC5;NAA16;EVI2B;TARDBP;HSPA1B;HSPA1A;MAD2L1
Positive Regulation Of Apoptotic Process (GO:0043065)	64/270	6.49276690219886E-11	3.6939058812241297E-8	0	0	2.8119432807917346	65.96185476190684	BTG1;DDX3X;TRADD;PDCD5;HMGB1;UBE2Z;TNF;CTSS;IFIT2;PYCARD;LGALS2;LGALS1;AIFM1;CTSL;PIP5KL1;ZC3H12A;ANKRD1;CTSH;CTSD;SOX4;CTNNBL1;MAP3K5;TNFRSF12A;SPHK2;DAPK2;DAPK3;BIN1;KCNMA1;IRF5;NUPR1;SQSTM1;GPLD1;RNF122;PPID;GRN;USP27X;BCL2A1;HTRA4;HTRA1;HSPD1;C3ORF38;BCLAF1;SCIN;UBD;RPS3;CCL3;PMAIP1;BMF;BAK1;IP6K2;MCL1;JUN;CRADD;BAD;GZMA;RRP1B;GADD45G;IL6;STK17A;STK17B;JMY;BCL2;BAX;RNPS1
Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478)	18/31	6.688829119464245E-11	3.6939058812241297E-8	0	0	12.378144503580044	289.99513456836587	HLA-DRB5;HLA-A;IFI30;HLA-F;CTSS;HLA-E;CLEC4A;HLA-DMA;HLA-DMB;CTSL;HLA-DRA;HLA-DRB3;CTSD;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;LGMN
Positive Regulation Of Programmed Cell Death (GO:0043068)	59/245	1.8462444712308922E-10	9.063008970997869E-8	0	0	2.866927288224495	64.25557369183991	DDX3X;TRADD;PDCD5;PRF1;HMGB1;UBE2Z;TNF;IFIT2;PYCARD;LGALS2;LGALS1;AIFM1;PIP5KL1;ANKRD1;CTSD;SOX4;CTNNBL1;MAP3K5;GBP5;TNFRSF12A;SPHK2;DAPK2;DAPK3;IFNG;BIN1;KCNMA1;IRF5;SQSTM1;GPLD1;RNF122;PPID;USP27X;BCL2A1;HTRA4;HTRA1;HSPD1;C3ORF38;BCLAF1;SCIN;UBD;PMAIP1;BMF;BAK1;GBP2;IP6K2;MCL1;JUN;CRADD;BAD;GZMA;RRP1B;GADD45G;IL6;STK17A;STK17B;JMY;BCL2;BAX;RNPS1
Regulation Of T Cell Activation (GO:0050863)	25/62	4.280496140702148E-10	1.891123194962209E-7	0	0	6.053406053406054	130.58275577993578	PTPN22;HSPD1;PYCARD;HLA-DMA;HLA-DMB;CCL5;ORC3;TBX21;CTSG;HLA-DOB;HLA-DQA1;HLA-DPA1;HLA-DRB5;PRELID1;SPINK5;CRTAM;TNFRSF1B;CD2;LCK;HLA-DRA;PRKCQ;TNFSF8;CD47;HLA-DRB3;HLA-DRB1
