Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of Apoptotic Process (GO:0042981)	175/705	9.978823303673966E-18	4.7818521271205646E-14	0	0	2.269154676951264	88.82847987356264	PDCD5;CIB1;TNF;ACTB;IFIT3;IFIT2;IGF1R;PYCARD;LGALS2;HMGN5;LGALS1;RASSF2;CCND2;CFL1;RPS6KA1;PROK2;PIM3;PIM2;SOX9;SOX4;IER3;MAP3K5;TGM2;BNIP3L;MEF2C;AREL1;DAPK1;DAPK2;FBXO11;MAPK8IP3;PRLR;MORF4L2;PPIF;PHIP;IL6ST;SQSTM1;PPIA;ATF4;NOTCH2;VCP;MEAF6;PRKDC;MAPKAP1;DCUN1D3;HTRA1;PIK3R1;PSEN1;STK4;MTDH;STK3;SOCS2;ARHGAP21;BCL2L11;SCIN;GRK5;BAG1;BMF;ZBTB7A;MCL1;HSPA9;PLK3;JUN;PRELID1;EGR3;HSPA5;API5;GADD45A;PLK2;TNFRSF10C;TNFRSF10B;AZU1;IGF1;SMAD6;NFKB1;TNFRSF10D;GADD45G;SETX;CXCL10;AHI1;DAB2;IL6;HNRNPK;SON;IL7;BCL3;NF1;ANP32E;ATM;HRK;PRR5;RBM25;HIP1;TRADD;HSPB1;HMGB1;TRIAP1;CX3CL1;SH3RF1;ADAMTSL4;PIP5KL1;ANKRD1;CD38;CTSH;JAK3;CTSD;CTNNBL1;HTATIP2;HSP90AA1;RIPK3;APAF1;TNFRSF12A;USP42;ANXA4;ACTL6A;PLAUR;SERPINB9;RPS3A;MMP9;YWHAZ;NME1;LATS1;HCK;RNF144B;LATS2;TMBIM4;RASA1;KCNMA1;IRF5;ANGPTL4;CRYAB;CD44;MCM2;LTF;PRKAA1;PHLPP1;USP27X;RPL10;BCL2A1;GSTP1;CBL;THBS1;RELA;BCLAF1;PDPN;BNIP2;PTK2B;TAF9B;LCMT1;MAP4K4;CD74;NPM1;ANGPT1;SEMA4D;STAT1;BAD;GZMA;DAB2IP;CFLAR;DHRS2;HIPK3;VEGFA;RSL1D1;RYBP;STK17A;APEX1;STK17B;FAS;BAX;PTPN6;ERCC5;NAA16;NAA15;HSPA1B;HSPA1A;MAD2L1
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	136/525	1.362241706519679E-15	3.2639311288211508E-12	0	0	2.3848194835898866	81.63152368879031	NCF1;IFIT5;TNF;IGF1R;PYCARD;LGALS1;TRIM25;EP300;PIM2;SOX9;TRIM21;TRIM22;TGM2;PRKCB;F2R;ARRDC3;FRMD6;DOK3;IL23A;RRAGD;PRKD2;ADAM8;S100A4;RBCK1;ALPK1;S100A9;PPIA;S100A8;CARD11;ANKRD17;IQGAP1;TXN;MTDH;ART4;PIK3R5;SLC9A3R1;TSPAN6;MIER1;S100A12;LYN;OSBPL8;SMAD4;TGFB1;CAV2;PLK2;LIF;EIF2AK2;TNFRSF10B;IGF1;BST2;DAB2;IL6;PTPRC;DLG5;TAB3;RPS20;TAB2;HPSE;MAP3K14;HLA-DRB1;MYD88;BCAR3;ECM1;HSP90AB1;PLEKHF1;HIP1;RNF13;TRADD;PIK3CD;ILK;PTPRJ;SPATC1L;PIK3CB;HMGB1;PIK3CG;CX3CL1;AKAP13;CASP10;CASP1;ITGAV;JAK2;HSP90AA1;RIPK2;RHOC;MMP8;TNFRSF1A;FGR;TRAF7;PIK3CA;ADRB3;LCK;TRAF6;IL1B;PELI1;RAPGEF2;SMCR8;TLR6;HCST;TLR3;AVPI1;TLR2;LTF;NFAT5;PELI2;NOD1;NOD2;CXXC5;ATP2C1;CBL;THBS1;STYXL1;RELA;BCLAF1;CCL5;CCL4;FNIP1;RPL17;LURAP1;SASH1;APOL2;BRD4;BCAP31;CD74;ANGPT1;SEMA4D;GDF15;DAB2IP;OSM;CFLAR;VEGFA;NLRP12;BAX;PTPN6;TRIM38;PIK3AP1;LIMS1
Cytoplasmic Translation (GO:0002181)	43/93	6.603698254269242E-15	1.0548307344819402E-11	0	0	5.767959736740225	188.33049872372328	RPL4;RPL5;RPL30;RPL3;RPL32;RPL10;RPL31;RPL34;RPLP1;RPLP0;RPL11;RPL10A;RPL9;RPL7;RPS4X;RPL7A;RPS14;RPS16;RPS15A;RPL14;RPL35;RPL13;RPL15;RPS11;RPS27A;RPL17;RPS13;RPL19;RWDD1;RPL21;RPS8;RPS5;RPL22;RPL13A;RPS3A;RPSA;RPL23A;RPL27A;RPL24;RPL22L1;RPS20;RPS24;RPS23
Positive Regulation Of DNA-templated Transcription (GO:0045893)	257/1243	1.3861985196977154E-14	1.660665826597863E-11	0	0	1.8030887468886916	57.535887881321585	TCERG1;SPI1;SMARCB1;MAML1;ELK1;ACTB;ZMIZ1;ZC3H12A;NAMPT;RPS6KA1;KAT7;SOX9;JUNB;IER2;SOX4;CDK5RAP2;MEF2A;MEF2C;SMARCC1;FOXH1;PTOV1;RFX3;RUNX2;RFX5;DXO;PRKD2;TRIM16;MAML3;ZFPM2;CLOCK;ATF4;MEAF6;CTBP2;PRKDC;CTR9;TWIST1;PIK3R2;PIK3R1;ZNF24;HIF1A;HELZ2;HLTF;HIVEP1;ZBED1;APOE;CGA;PPARGC1A;LYAR;RREB1;PPARGC1B;WWTR1;JUN;EGR2;JUND;LIF;NR2F2;IGF1;INO80;FOSL2;SETX;MLLT10;HNRNPD;ATM;HLA-DRB1;CDKN1C;ELL;AKR1B1;TCF21;RSF1;MED16;CX3CL1;MED12;ING2;MED13;MECOM;SPIN1;CD38;GABPA;HTATIP2;SREBF1;RIPK2;ACTL6A;TET2;BAZ1B;PARP9;MMP12;PLSCR1;MDFIC;TAL1;IL1B;RARA;NCOA7;MAPRE3;PLCB1;RHOQ;TLR3;TLR2;ZNF593;DOT1L;WAS;ASCL2;RELA;CAMKK2;BCLAF1;RXRA;NFIL3;SPP1;STAT6;TBL1X;SF3B1;BRD4;CD74;NPM1;NFYA;STAT1;PCGF5;STAT2;ATAD2;DAB2IP;OSM;NR1H3;GRHL2;GATAD2B;GATAD2A;VEGFA;SKI;MAD2L2;RYBP;NFIA;NFIB;PRKRA;APEX1;NFIC;AGRN;CRTC3;NCF1;UBP1;PRDM2;AHR;NR3C1;ETS1;TNF;ETS2;HMGN5;SALL1;EP300;PIM2;MAP3K5;KCNH2;MAP2K3;OSR2;ZBTB38;F2R;LMO2;LMO7;ILF3;TBL1XR1;MORF4L2;ZNF318;PHIP;MZF1;SQSTM1;GLYR1;KMT2E;KMT2D;TNKS;KMT2C;NOTCH4;FOXO4;PSEN1;SLC9A1;ATXN7;CAMTA2;CYTL1;BCL9L;AKIRIN2;DR1;TFAP2C;SMAD4;TGFB1;CHCHD10;NFKB1;NFKB2;NFKBIA;CXCL10;AHI1;BCL9;IL6;DAB2;NR4A3;BCL3;MAFF;TCF4;OGT;PICALM;MAP3K12;CHD8;HMGB2;ILK;ARRB1;CHD3;HMGB1;TRIAP1;YBX1;PKD2;PKD1;LYL1;DBP;PELP1;KDM6B;ACTR2;PPP1R12A;ATRX;MSL3;EDF1;KLF15;TNFRSF1A;PSRC1;TFDP1;IRF4;TRAF6;ZNF516;IRF7;IRF5;MET;CREB5;CEBPA;NFAT5;PRKAA1;CEBPB;KDM3A;ZBTB49;CEBPG;NLRC5;NOD2;MLLT3;NR2C2;MAPK7;TP53INP2;RNF20;TAF10;IRX3;USP22;KLF4;USF2;MEIS2;KLF2;ASXL2;NAA16;NAA15;TAF5;TAF4;PAXBP1;SSBP2;LPIN2;RBMX;TAF2
Negative Regulation Of Programmed Cell Death (GO:0043069)	104/381	9.057780855566626E-14	8.680977171975054E-11	0	0	2.545238006624735	76.44003134807234	CIB1;IFIT3;IGF1R;CCND2;HMGN5;RPS6KA1;CFL1;PROK2;PIM3;SOX9;PIM2;IER3;BNIP3L;AREL1;MAPK8IP3;PRLR;PPIF;PHIP;IL6ST;NOTCH2;PRKDC;MAPKAP1;PIK3R1;PSEN1;MTDH;SOCS2;ARHGAP21;GRK5;BAG1;MCL1;HSPA9;PLK3;PRELID1;EGR3;HSPA5;API5;PLK2;AZU1;IGF1;SMAD6;NFKB1;TNFRSF10D;SETX;AHI1;DAB2;IL6;HNRNPK;SON;IL7;BCL3;PRR5;HSPB1;SLC7A11;TRIAP1;CX3CL1;SH3RF1;MECOM;CD38;CTSH;HTATIP2;GPX4;ANXA4;PLAUR;SERPINB9;RPS3A;MMP9;YWHAZ;HCK;RNF144B;TMBIM4;RASA1;ANGPTL4;CRYAB;MET;CD44;LTF;KANK2;PRKAA1;RPL10;BCL2A1;GSTP1;CBL;THBS1;RELA;PDPN;BNIP2;PTK2B;TAF9B;MAP4K4;CD74;NPM1;ANGPT1;SEMA4D;CFLAR;DHRS2;HIPK3;VEGFA;FAS;ERCC5;NAA16;NAA15;HSPA1B;HSPA1A;MAD2L1
Negative Regulation Of Apoptotic Process (GO:0043066)	122/482	2.3933933318835826E-13	1.911523474397688E-10	0	0	2.3026579694710687	66.91729927454485	RB1;CIB1;TNF;IFIT3;IGF1R;HMGN5;CCND2;ZC3H12A;CFL1;RPS6KA1;PROK2;PIM3;PIM2;SOX9;IER3;BNIP3L;MEF2C;PRKCH;AREL1;PRKCD;F2R;MAPK8IP3;PRLR;PPIF;ADAM8;PHIP;IL6ST;NOTCH2;PRKDC;MAPKAP1;ALOX12;PIK3R1;PSEN1;MTDH;SOCS2;ARHGAP21;GRK5;BAG1;APOE;PPARGC1A;MCL1;SNX6;HSPA9;PLK3;PRELID1;EGR3;HSPA5;API5;PLK2;AZU1;IGF1;SMAD6;NFKB1;TNFRSF10D;SETX;AHI1;DAB2;IL6;HNRNPK;SON;IL7;BCL3;CPEB4;LGMN;PRR5;HSPB1;TRIAP1;CX3CL1;SH3RF1;CD38;CTSH;HTATIP2;ANXA4;PLAUR;SERPINB9;RPS3A;MMP9;YWHAZ;HCK;RNF144B;PIK3CA;TMBIM4;CEACAM6;RASA1;ANGPTL4;CRYAB;CD44;LTF;GRN;PRKAA1;RPL10;BCL2A1;GSTP1;CBL;THBS1;RELA;PDPN;BNIP2;PTK2B;TAF9B;FNIP1;MAP4K4;CDKN2D;CD74;NPM1;MTRNR2L10;ANGPT1;SEMA4D;CFLAR;KLF4;SOD2;DHRS2;HIPK3;VEGFA;FAS;ERCC5;NAA16;NAA15;HSPA1B;HSPA1A;GRINA;MAD2L1
Macromolecule Biosynthetic Process (GO:0009059)	61/183	1.4473727558237795E-12	9.908300351296503E-10	0	0	3.362962962962963	91.6786450174396	RPL4;MRPS17;RPL5;HBS1L;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;MRPL34;RPL9;RPL7;EEF1B2;RPS4X;RPS14;MRPL42;RPL7A;RPS16;RPL35;RPS11;RPS13;RPL21;RPS8;RPS5;RPL22;RPL13A;RPSA;RPS3A;GTPBP2;GTPBP1;MRPS6;MRPL43;EEF1A1;EEF1G;MRPL52;RPL24;RPL10;GCNT1;RPL11;RRBP1;TYMS;RPS15A;ST3GAL4;RPL14;RPL13;APOE;RPL15;RPS27A;RPL17;ST3GAL2;ABCF1;RPL19;RPL23A;EXT2;RPL27A;RPS20;RPS24;RPS23
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	197/938	4.9253852888008885E-12	2.9503057879917324E-9	0	0	1.8205017087164819	47.39970867441307	TCERG1;SPI1;SMARCB1;MAML1;PWWP2B;ELK1;ZMIZ1;ZC3H12A;NAMPT;RPS6KA1;SOX9;JUNB;IER2;SOX4;MEF2A;MEF2C;FOXH1;PTOV1;RFX3;RUNX2;RFX5;PRKD2;MAML3;ZFPM2;ATF4;PAXIP1;CTBP2;PRKDC;CTR9;TWIST1;PIK3R2;PIK3R1;ZNF24;HIF1A;HELZ2;HLTF;HIVEP1;ZBED1;CGA;PPARGC1A;RREB1;PPARGC1B;WWTR1;JUN;EGR2;JUND;LIF;NR2F2;IGF1;INO80;ELL2;FOSL2;SETX;MLLT10;ATM;ELL;AKR1B1;TCF21;MED16;CX3CL1;MED12;MED13;GABPA;HTATIP2;SREBF1;RIPK2;TET2;BAZ1B;MMP12;PLSCR1;TAL1;RARA;NCOA7;RHOQ;TLR3;TLR2;ZNF593;DOT1L;WAS;ASCL2;RELA;BCLAF1;RXRA;STAT6;TBL1X;SF3B1;BRD4;NPM1;NFYA;STAT1;PCGF5;STAT2;ATAD2;DAB2IP;OSM;NR1H3;GRHL2;VEGFA;SKI;NFIA;NFIB;PRKRA;APEX1;NFIC;AGRN;CRTC3;UBP1;PRDM2;AHR;NR3C1;ETS1;TNF;ETS2;SALL1;EP300;OSR2;ZBTB38;LMO2;LMO7;TBL1XR1;PHIP;MZF1;SQSTM1;GLYR1;KMT2D;TNKS;KMT2C;NOTCH4;FOXO4;SLC9A1;CAMTA2;CYTL1;BCL9L;AKIRIN2;DR1;TFAP2C;SMAD4;TGFB1;NFKB1;NFKB2;NFKBIA;CXCL10;AHI1;BCL9;IL6;DAB2;NR4A3;BCL3;MAFF;TCF4;OGT;CHD8;HMGB2;ARRB1;HMGB1;TRIAP1;YBX1;PKD2;PKD1;DBP;PELP1;KDM6B;ACTR2;PPP1R12A;ATRX;KLF15;TNFRSF1A;TFDP1;IRF4;TRAF6;IRF7;IRF5;MET;CEBPA;NFAT5;CEBPB;ZBTB49;CEBPG;NLRC5;NOD2;NR2C2;MAPK7;RNF20;TAF10;IRX3;KLF4;USF2;MEIS2;KLF2;ASXL2;TAF5;TAF4;PAXBP1;SSBP2;LPIN2;RBMX;TAF2
Defense Response To Virus (GO:0051607)	60/189	2.2248237620954082E-11	1.1845950519956885E-8	0	0	3.125849661947833	76.67321089788467	IFITM2;IFIT5;DDX60L;IFIT1;TNF;IFIT3;IFIT2;PYCARD;IFIH1;CASP1;TRIM25;TRIM26;TRIM21;BNIP3L;GBP5;RAB2B;MORC3;RSAD2;RIPK3;RNASE2;PLSCR1;TRAF3;OAS3;TRAF6;IRF7;TLR3;TLR2;USP27X;NLRC5;DDX60;TANK;USP18;RELA;RNF135;EXOSC4;G3BP1;NLRP1;GBP2;APOBEC3C;MLKL;STAT1;CARD8;STAT2;MX1;EIF2AK2;AZU1;BST2;ISG20;AGBL5;CXCL10;UBE2W;IL6;CNOT7;PTPRC;ZNFX1;SERINC3;MAP3K14;APOBEC3A;MYD88;APOBEC3B
Regulation Of Inflammatory Response (GO:0050727)	70/240	4.0447588444245526E-11	1.9382484382482455E-8	0	0	2.7715179968701094	66.32523624041252	RB1;TNFAIP6;CELF1;TRADD;TNC;TNFAIP3;AHR;METRNL;ETS1;TNF;CX3CL1;PYCARD;CDH5;LGALS2;LGALS1;NFKBIZ;CASP1;FFAR2;SLC39A8;JAK2;AREL1;IL1R1;PRKCD;MMP8;TNFRSF1B;MMP9;IL17RA;FOXP1;TNFRSF1A;HCK;PSMA6;IL23A;IL1B;NINJ1;CD47;S100A9;TLR3;VAMP2;S100A8;TLR2;CEBPA;GRN;NOD2;MEFV;PLA2G7;USP18;RELA;MAPK7;ALOX5;CCL5;S100A12;APOE;NLRP1;ELANE;SNX6;BRD4;GSDMD;IL10RA;PDE2A;OSM;NR1H3;NKG7;KLF4;MAPK13;NFKBIA;NLRP12;IL6;PIK3AP1;CD200;MYD88
