Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signal Transduction R-HSA-162582	460/2465	2.330889781357716E-21	3.855291698365662E-18	0	0	1.7484459941591448	83.0652367693265	CYFIP2;NCKAP1;MAML2;WIPF1;ITSN1;HTR4;MYLK;PREX2;PREX1;AKT2;MYC;STMN1;CEP97;PRKACB;STARD8;SOX13;GABRG3;DDX39B;NUP98;MTMR1;GATA3;MTMR4;IQGAP3;HIF1A;SKA1;C3;C5;PPP3R1;FLRT2;FLRT3;PDGFC;MYO6;PCDHA4;NCKAP1L;ST3GAL6;PIP5K1C;PSMF1;LYN;NGFR;STARD13;JAG1;ICMT;PHC1;HOMER2;FZD4;PLK1;NFATC1;PBX1;VANGL1;MOV10;COL1A2;PNOC;DZIP1;ARHGAP9;CDKN1A;RARG;LRRC1;SMPD3;C1QTNF1;MECOM;CASP10;PEA15;JAK3;EMD;DUSP5;GPR39;DUSP3;SPHK1;GMIP;DUSP7;KAT2A;NCOR1;CDC42EP4;RAPGEF1;RARA;CDC42EP2;RAPGEF2;CDC42EP1;PLCB1;RGR;RAPGEF3;PPARD;ARF6;KANK1;PHLPP1;ADCY1;PROKR2;GGA3;RICTOR;STAT6;RPS27A;MEF2D;FARP1;P2RY13;CCL22;WNT7B;DHRS3;GATAD2B;PSMB8;GATAD2A;PSMB9;CENPF;ABI2;CENPK;FOSB;LGR6;CCL28;FRK;CHRM3;DGKE;CCNT1;IRS1;CHRM5;RORA;IL1RAP;TNF;CXCL16;FGF5;YY1;CYSLTR1;FGF9;POFUT1;RUVBL1;POTEE;TLE3;TLE1;TPM4;TPM3;KCNH8;TEX2;CLIP1;DGKI;FKBP5;DGKH;NOTCH2;KMT2D;KHDRBS3;CALCRL;TNKS;ITPR1;RHOBTB3;RASAL2;RHOBTB2;KLC4;STIP1;BCL2L11;TBXA2R;CPAMD8;ABL1;PLXNA1;RAB6A;SRGAP1;MAP2K5;NDC80;DRAP1;BCL9;NSFL1C;CXCL12;NOXA1;BCL2;PLXNB1;MYD88;BCL2L1;ITGB5;FLT4;RASGRF1;ARRB1;TCIRG1;ARRB2;CDC73;PIK3CG;BOC;EFHD2;ITGB8;ITGAV;PELP1;PLEKHG3;PLEKHG2;DST;KSR1;VWF;ITGA3;ITGA2;NRG1;KSR2;TNFRSF1A;EVC;ADORA2A;IL3RA;NUMB;AGXT;PPP1R15A;CX3CR1;HDAC5;PRKAA1;SRC;TULP3;PLG;IL2RG;CXXC4;HDAC6;CDC42;FZR1;PTPRZ1;P2RY1;CCL4;CCL3;NHS;RBBP6;E2F4;WHAMM;POLR2J;NTRK2;PTPN1;PTPN18;NTRK3;PCDH7;GZMB;PTPN11;PTPN12;CDC42BPA;PTPN13;PML;APOC1;PTPN6;PTPN7;PIK3AP1;PTPN3;OXTR;VIPR1;SPARC;HHIP;PPP2R1A;BTRC;GOLGA7;TNS3;PDK2;SOX4;TMPO;FLT3LG;RUNX3;UHMK1;TIAM2;SPATA13;TP53;ATP6V0D2;EPHA2;SPTBN4;INTU;PDE1C;EPAS1;MAGED1;PDE1B;PIK3R3;LPAR3;PIK3R2;KALRN;PIK3R5;APH1A;SNX3;CD19;ATP6V0A2;APOE;PAG1;ATP6V0A1;SPTBN2;CCR1;WWTR1;INSR;GREB1;IGF1;PPBP;STAM;GNG12;PTK2;TF;LPAR5;RANBP10;PDE3A;CALM1;PTPRS;AP2A1;PCSK6;PCSK5;PPP3CA;SUFU;CCR7;DLAT;PSENEN;NCOA3;NOG;KREMEN1;GPBAR1;GFRA1;RHOF;RHOC;NR5A2;HNRNPH1;ARHGEF3;TLR9;ARHGEF4;ARHGEF2;OPRD1;CXCR5;WAS;CXCR3;CXCR2;TBL1X;SUZ12;FKBP1A;TJP1;ZDHHC9;AXL;NEDD4;DLC1;SAA2;ESYT1;MAMLD1;SPC24;SPC25;PLAT;PRDM1;ARHGAP35;ARHGAP42;RGS3;CCND1;ARHGDIA;ARHGDIB;MATK;ATP1B4;TSC2;RPGRIP1L;HGS;ADAM12;ELMO2;ARHGEF28;C5AR2;C5AR1;CSF2RB;DTX2;SLC1A5;ADRB2;CSF2RA;RASGRP4;PLD2;RASGRP3;ARHGAP22;PDZD2;HRH2;GRK6;MYH11;RIPK1;STAP2;RHPN2;ECT2;WNT1;MYH10;BCL9L;SMAD1;CBX6;POU2F1;SMAD3;CBX4;SMURF2;CAV2;TGFB3;PTCH1;ARHGEF38;PTCH2;ARHGAP29;ARHGAP28;ARHGAP27;SMAD6;ESR1;ARHGAP33;NFKBIA;DIAPH1;ARHGAP32;NR4A1;ARHGAP31;GNAL;DIAPH3;DNMBP;UBXN11;CNTN1;GNAS;TAB2;FGF13;FGFR4;MUC20;FGFR2;FGFR1;GLP1R;GSK3B;DOCK5;GSK3A;DOCK4;DOCK3;PRKCSH;CHD8;ATP2A3;TNFAIP3;ATP2A2;HSPB1;LAMC2;TNFAIP1;LAMC1;LTB4R;LMNB1;SPRED3;SPRED2;SPRED1;DBT;PDE4B;CASP2;FLOT2;PDE4A;GPSM3;ARHGEF10;PPP2R5B;PPP2R5D;ARAP1;SSTR2;DNM1;ACTA2;LATS1;ELF3;PEAK1;RASA4;AKT1S1;COL6A3;MYH9;PDE5A;RGS18;RALB;RGS19;LAMA4;LEF1;MOSPD2;CBL;THBS1;AURKB;GNG2;ERBB3;GNG7;MKNK1;S1PR1;NUP43;NCAM1;S1PR3;MAPK3;TCF7L2;TCF7L1;PDE6G;LIMK1;USF1;FMNL3;FMNL1;SCD;ACKR2
Immune System R-HSA-168256	347/1943	3.23850481708744E-13	2.678243483731313E-10	0	0	1.611145352902517	46.33411470866444	CYFIP2;CDA;NCKAP1;FRMPD3;WIPF1;CLEC10A;SLA2;ICAM1;IL27RA;RNF115;PPP2R1A;AKT2;MYC;TRIM25;TRIM26;CPNE2;LGALS9;AP1S3;BTRC;PRKACB;B2M;GOLGA7;TRIM22;ICOSLG;GBP6;NUP210;AP1B1;HLA-B;RNASE6;FLT3LG;HLA-C;RNF126;PDE12;TRIM14;PADI2;NUP98;TP53;ATP6V0D2;CD101;POM121;TMEM63A;CFH;PRKDC;PIK3R3;PIK3R2;GATA3;MEFV;HIF1A;C3;CD79A;C5;PPP3R1;CYB5R3;POM121C;CD19;INPP5D;PCBP2;ATP6V0A2;HMOX1;NCKAP1L;LTA4H;PSMF1;HLA-DQA1;ARSB;PAG1;ATP6V0A1;SPTBN2;VAT1;LYN;CCR1;CTSA;HLA-DRB4;STK11IP;SIGLEC10;MYO5A;NFATC1;IFNLR1;PPBP;PILRA;PTK2;COL1A2;REL;TNFSF8;CALM1;HLA-DRB1;CD200;CD22;LGMN;RNF220;ARHGAP9;PYGB;ITK;CDKN1A;LRSAM1;SERPINA1;SLC44A2;AP2A1;MAGT1;CD3E;IL18BP;TRIM8;PPP3CA;CASP10;GNLY;ARIH2;FCER1A;ARIH1;JAK3;CAP1;DUSP3;FCER1G;GAA;TUBB;IL16;RHOF;DUSP7;IL17RA;ENAH;NCR1;RNF144B;HCK;RAP2B;SLC7A8;RAPGEF1;TLR9;TLR7;TLR5;RAPGEF3;VAMP2;CD44;DNASE1L1;OPRD1;WAS;LILRA1;LILRA2;LILRA4;LILRA5;CST3;ALOX5;CXCR2;RICTOR;STAT6;IL12RB1;RPS27A;XDH;RNF130;LAIR1;CD74;CCL22;IL10RA;STAT2;AKR1C1;KLHL3;LILRB1;KIR3DL2;LILRB2;LILRB4;PSMB8;PSMB9;FKBP1A;ABI2;CFHR1;CLCF1;NEDD4;DLC1;CFHR3;SARM1;SAA2;SIGLEC1;SIGLEC8;CD68;SIGLEC7;FRK;GHDC;NUP188;TMEM179B;IRS1;F13A1;RORA;IL1RAP;UBE2Z;CLU;TNF;LAMP1;CCND1;COTL1;TNFRSF8;KPNA5;CAPN1;HLA-DOA;IL13RA1;AREL1;KCNH8;UBE2E3;CD180;FBXO15;FBXO10;TICAM1;MID1;PRLR;OSCAR;RAB31;TXLNA;DOK3;STIM1;CD300E;ELMO2;MASP1;CD300C;CARD11;RAB5B;C5AR2;C5AR1;ITPR1;DAPP1;PLD4;LPO;CSF2RB;UBR1;TNFRSF11A;KIR2DL3;AGER;CSF2RA;PLD3;RASGRP4;PLD2;RASGRP3;CNN2;KLC4;BCL2L11;PDZD2;ABL1;RIPK1;RAB6A;SOCS5;BTNL9;TRAPPC1;POU2F1;SMAD3;SMURF2;TNFRSF9;CRTAM;NUP153;NFKBIA;UBE2W;DIAPH1;MAVS;PTPRC;BCL6;UBE2S;BCL2;HLA-DRA;TAB2;HPSE;OSBPL1A;FGF13;IL7R;MUC20;MYD88;EIF4G2;BCL2L1;ULBP3;CIITA;ITGB5;PRKCSH;ITGB2;TNFAIP3;ADAR;TCIRG1;ITGAL;SIRPB1;LMNB1;GHR;SEC61A1;ITGAX;TRIM68;CASP2;ITGAV;LRRFIP1;CLEC1B;TRIM62;ITGA4;DTX3L;RNASET2;ATP6AP2;PPP2R5B;PPP2R5D;TNFRSF1B;MUC5AC;TIRAP;DNM1;TNFRSF1A;TAPBP;TRAF7;IRF2;IL3RA;PECAM1;MYH9;LCP2;IRF5;LTB;COLEC12;SRC;DCTN1;UNC93B1;MOSPD2;IL2RG;CBL;RNF4;SAMHD1;CDC42;FBXL20;ZNRF2;FZR1;IFI16;PTPRZ1;HECTD3;CCL4;CCL3;S1PR1;NUP43;RBBP6;NCAM1;MUC4;GBP4;MAPK3;PTPN1;PTPN18;SEC24A;LIMK1;ERAP1;FBXL15;PTPN11;PTPN12;PTPN13;PML;P2RX7;TSPAN14;CD4;POLR3A;FCGR2A;P2RX1;PTPN6;PTPN7;PIK3AP1;SEC24D;TRIM32
RHO GTPase Cycle R-HSA-9012999	105/441	2.536695402582109E-11	1.3985647319569362E-8	0	0	2.245971117622436	54.79624612085722	CYFIP2;NCKAP1;WIPF1;ITSN1;ARHGAP35;PREX2;PREX1;ARHGAP42;ARHGDIA;ARHGDIB;POTEE;CEP97;TMPO;TPM4;TPM3;STARD8;TEX2;TIAM2;DDX39B;HGS;SPATA13;ELMO2;EPHA2;MTMR1;ARHGEF28;PIK3R3;PIK3R2;RASAL2;SLC1A5;IQGAP3;KALRN;RHOBTB2;PLD2;ARHGAP22;STIP1;MYO6;PLXNA1;NCKAP1L;RHPN2;ECT2;SRGAP1;STARD13;JAG1;HOMER2;ARHGAP29;ARHGAP28;STAM;ARHGAP27;VANGL1;ARHGAP33;NSFL1C;ARHGAP32;DIAPH1;ARHGAP31;DIAPH3;DNMBP;UBXN11;NOXA1;PLXNB1;ARHGAP9;DOCK5;DOCK4;DOCK3;PRKCSH;TNFAIP1;LRRC1;LMNB1;DBT;EFHD2;FLOT2;EMD;PLEKHG3;ARHGEF10;PLEKHG2;DST;NCOA3;RHOF;ARAP1;GMIP;RHOC;PEAK1;CDC42EP4;CDC42EP2;RAPGEF1;ARHGEF3;CDC42EP1;ARHGEF4;PDE5A;ARHGEF2;SRC;WAS;MOSPD2;CDC42;NHS;RBBP6;WHAMM;FARP1;PCDH7;CDC42BPA;PTPN13;FMNL3;FMNL1;ABI2;DLC1;ESYT1
RAC1 GTPase Cycle R-HSA-9013149	55/178	6.583198229511965E-11	2.7221524679031977E-8	0	0	3.186915202485358	74.71377021100176	CYFIP2;ARHGAP9;NCKAP1;DOCK5;DOCK4;DOCK3;WIPF1;PRKCSH;ARHGAP35;PREX2;PREX1;ARHGAP42;ARHGDIA;ARHGDIB;EMD;TMPO;PLEKHG3;ARHGEF10;PLEKHG2;ARAP1;GMIP;TIAM2;CDC42EP4;SPATA13;ARHGEF4;CDC42EP1;EPHA2;WAS;PIK3R3;PIK3R2;SLC1A5;IQGAP3;KALRN;PLD2;ARHGAP22;CDC42;NHS;NCKAP1L;ECT2;SRGAP1;FARP1;JAG1;ARHGAP29;ARHGAP27;CDC42BPA;ARHGAP33;VANGL1;ARHGAP32;ARHGAP31;FMNL1;DIAPH3;ABI2;DLC1;NOXA1;ESYT1
Signaling By Receptor Tyrosine Kinases R-HSA-9006934	113/496	8.23354407522869E-11	2.723656380085651E-8	0	0	2.1217789221239074	49.268172243023955	CYFIP2;NCKAP1;SPARC;IRS1;PLAT;PRDM1;FGF5;FGF9;PPP2R1A;AKT2;MYC;STMN1;PRKACB;TNS3;KCNH8;MATK;FLT3LG;GABRG3;HGS;ADAM12;ELMO2;ATP6V0D2;ITPR1;PIK3R3;PIK3R2;HIF1A;APH1A;FLRT2;FLRT3;PDGFC;ATP6V0A2;NCKAP1L;APOE;MAP2K5;PAG1;ATP6V0A1;LYN;INSR;IGF1;STAM;ESR1;PTK2;DIAPH1;TF;CXCL12;RANBP10;TAB2;CALM1;FGF13;FGFR4;MUC20;FGFR2;FGFR1;PTPRS;DOCK3;FLT4;HSPB1;AP2A1;LAMC2;TCIRG1;LAMC1;PCSK6;PCSK5;SPRED2;SPRED1;ITGAV;JAK3;PSENEN;DUSP3;ITGA3;SPHK1;ITGA2;NRG1;PPP2R5D;DNM1;DUSP7;NCOR1;ADORA2A;HNRNPH1;RAPGEF1;TLR9;COL6A3;ARF6;RALB;SRC;LAMA4;PLG;IL2RG;CBL;THBS1;CDC42;GGA3;PTPRZ1;ERBB3;MKNK1;RICTOR;STAT6;RPS27A;MEF2D;POLR2J;MAPK3;NTRK2;PTPN1;PTPN18;NTRK3;PTPN11;PTPN12;ABI2;AXL;NEDD4;FOSB;PTPN6;PTPN3
Signaling By Rho GTPases R-HSA-194315	131/644	6.659289108044543E-9	1.8357440307842791E-6	0	0	1.836370325823964	34.57380890709249	CYFIP2;NCKAP1;WIPF1;ITSN1;ARHGAP35;MYLK;PREX2;PREX1;ARHGAP42;PPP2R1A;ARHGDIA;ARHGDIB;POTEE;CEP97;TMPO;TPM4;TPM3;STARD8;TEX2;TIAM2;CLIP1;DDX39B;HGS;SPATA13;ELMO2;NUP98;EPHA2;MTMR1;ARHGEF28;PIK3R3;PIK3R2;RASAL2;SLC1A5;IQGAP3;KALRN;SKA1;RHOBTB2;PLD2;ARHGAP22;KLC4;STIP1;PDZD2;MYO6;ABL1;PLXNA1;NCKAP1L;MYH11;RHPN2;ECT2;SRGAP1;MYH10;STARD13;JAG1;HOMER2;PLK1;ARHGAP29;ARHGAP28;STAM;ARHGAP27;NDC80;PTK2;VANGL1;ARHGAP33;NSFL1C;ARHGAP32;DIAPH1;ARHGAP31;DIAPH3;DNMBP;UBXN11;NOXA1;PLXNB1;CALM1;ARHGAP9;DOCK5;DOCK4;DOCK3;PRKCSH;TNFAIP1;LRRC1;LMNB1;DBT;EFHD2;FLOT2;EMD;PLEKHG3;ARHGEF10;PLEKHG2;DST;NCOA3;PPP2R5B;PPP2R5D;RHOF;ARAP1;GMIP;RHOC;PEAK1;CDC42EP4;CDC42EP2;RAPGEF1;ARHGEF3;CDC42EP1;ARHGEF4;MYH9;PDE5A;ARHGEF2;SRC;WAS;MOSPD2;AURKB;CDC42;FZR1;NHS;RBBP6;NUP43;WHAMM;MAPK3;FARP1;PCDH7;LIMK1;CDC42BPA;PTPN13;FMNL3;CENPF;FMNL1;ABI2;DLC1;CENPK;ESYT1;SPC24;SPC25
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	132/660	1.7100414495626298E-8	4.040583653680842E-6	0	0	1.7969940728196443	32.137735149535196	CYFIP2;NCKAP1;WIPF1;ITSN1;ARHGAP35;MYLK;PREX2;PREX1;ARHGAP42;PPP2R1A;ARHGDIA;ARHGDIB;POTEE;CEP97;TMPO;TPM4;TPM3;STARD8;TEX2;TIAM2;CLIP1;DDX39B;HGS;SPATA13;ELMO2;NUP98;EPHA2;MTMR1;ARHGEF28;RHOBTB3;PIK3R3;PIK3R2;RASAL2;SLC1A5;IQGAP3;KALRN;SKA1;RHOBTB2;PLD2;ARHGAP22;KLC4;STIP1;PDZD2;MYO6;ABL1;PLXNA1;NCKAP1L;MYH11;RHPN2;ECT2;SRGAP1;MYH10;STARD13;JAG1;HOMER2;PLK1;ARHGAP29;ARHGAP28;STAM;ARHGAP27;NDC80;PTK2;VANGL1;ARHGAP33;NSFL1C;ARHGAP32;DIAPH1;ARHGAP31;DIAPH3;DNMBP;UBXN11;NOXA1;PLXNB1;CALM1;ARHGAP9;DOCK5;DOCK4;DOCK3;PRKCSH;TNFAIP1;LRRC1;LMNB1;DBT;EFHD2;FLOT2;EMD;PLEKHG3;ARHGEF10;PLEKHG2;DST;NCOA3;PPP2R5B;PPP2R5D;RHOF;ARAP1;GMIP;RHOC;PEAK1;CDC42EP4;CDC42EP2;RAPGEF1;ARHGEF3;CDC42EP1;ARHGEF4;MYH9;PDE5A;ARHGEF2;SRC;WAS;MOSPD2;AURKB;CDC42;FZR1;NHS;RBBP6;NUP43;WHAMM;MAPK3;FARP1;PCDH7;LIMK1;CDC42BPA;PTPN13;FMNL3;CENPF;FMNL1;ABI2;DLC1;CENPK;ESYT1;SPC24;SPC25
CDC42 GTPase Cycle R-HSA-9013148	43/149	7.101303466099184E-8	1.4109406294434841E-5	0	0	2.8798411122144985	47.40334352625978	ARHGAP9;WIPF1;PRKCSH;ITSN1;WAS;PIK3R2;IQGAP3;ARHGAP35;PREX2;ARHGAP22;CDC42;PREX1;ARHGAP42;ARHGDIA;ARHGDIB;ECT2;SRGAP1;TMPO;PLEKHG3;ARHGEF10;FARP1;STARD13;PLEKHG2;STARD8;ARHGAP29;ARHGAP27;ARAP1;GMIP;CDC42BPA;ARHGAP33;VANGL1;FMNL3;ARHGAP32;ARHGAP31;FMNL1;DIAPH3;DNMBP;CDC42EP4;DLC1;SPATA13;CDC42EP2;ARHGEF4;CDC42EP1
Cytokine Signaling In Immune System R-HSA-1280215	136/702	7.67742785065983E-8	1.4109406294434841E-5	0	0	1.7262038560557698	28.27935543692504	NUP188;IRS1;F13A1;RORA;IL1RAP;SLA2;TNF;ICAM1;IL27RA;CCND1;PPP2R1A;AKT2;MYC;TNFRSF8;TRIM25;TRIM26;KPNA5;LGALS9;BTRC;B2M;TRIM22;IL13RA1;GBP6;NUP210;KCNH8;HLA-B;FLT3LG;HLA-C;MID1;PRLR;TXLNA;PDE12;TRIM14;NUP98;TP53;POM121;PIK3R3;PIK3R2;CSF2RB;GATA3;TNFRSF11A;HIF1A;AGER;CSF2RA;CNN2;BCL2L11;PDZD2;POM121C;INPP5D;HMOX1;PSMF1;HLA-DQA1;SOCS5;LYN;CCR1;HLA-DRB4;POU2F1;SMAD3;TNFRSF9;IFNLR1;NUP153;NFKBIA;COL1A2;BCL6;BCL2;HLA-DRA;TNFSF8;TAB2;FGF13;IL7R;HLA-DRB1;EIF4G2;MYD88;BCL2L1;CDKN1A;CIITA;ITGB2;ADAR;IL18BP;LMNB1;TRIM8;GHR;ITGAX;TRIM68;ARIH1;JAK3;TRIM62;DUSP3;IL16;PPP2R5D;TNFRSF1B;DUSP7;TNFRSF1A;IL17RA;HCK;IL3RA;IRF2;RAPGEF1;IRF5;LTB;VAMP2;CD44;OPRD1;IL2RG;CBL;SAMHD1;CDC42;PTPRZ1;ALOX5;CCL4;CCL3;S1PR1;STAT6;NCAM1;NUP43;IL12RB1;RPS27A;GBP4;MAPK3;PTPN1;PTPN18;CCL22;IL10RA;STAT2;PTPN11;PTPN12;PTPN13;PSMB8;PML;PSMB9;CD4;CLCF1;NEDD4;SAA2;PTPN6;PTPN7
Hemostasis R-HSA-109582	113/576	5.077864879322323E-7	8.268307344864363E-5	0	0	1.746964585546302	25.319115476602093	DGKE;CD84;SPARC;SERPINE2;F13A1;PLAT;CLU;SLC8A2;FAM110A;PPP2R1A;KIF21A;PRKACB;GUCY1A2;APLP2;SERPINF2;ACTN4;PROCR;STIM1;PSG5;ZFPM2;TP53;DGKI;DGKH;GYPC;PDE1B;SDC3;ITPR1;PIK3R3;PIK3R2;PSG11;GATA3;PIK3R5;KLC4;TBXA2R;KCNMB1;INPP5D;MICAL1;ABL1;LYN;CBX5;TGFB3;IGF1;PPBP;GNG12;PTK2;TF;KIF18B;GNAS;CALM1;LGALS3BP;DOCK5;DOCK4;SERPINA1;DOCK3;ITGB2;PLEK;ATP2A3;ATP2A2;ARRB1;ARRB2;SLC7A11;ITGAL;PIK3CG;ITGAX;HMG20B;KIF1C;ITGAV;CLEC1B;CAP1;FCER1G;ITGA4;VWF;ITGA3;ITGA2;ITPK1;ITGA1;PPP2R5B;PPP2R5D;F5;SLC7A5;F8;SLC7A6;SLC7A8;IRF2;PECAM1;LCP2;PDE5A;RAPGEF3;CD44;SELPLG;SRC;PLG;TFPI;LRP8;THBS1;CDC42;GNG2;GNG7;P2RY1;MAPK3;PTPN1;CD74;ANGPT2;PCDH7;ATP2B4;PTPN11;MERTK;SGPP2;P2RX7;WEE1;P2RX3;P2RX1;PTPN6
