Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Eukaryotic Translation Elongation R-HSA-156842	37/90	2.427752464488294E-29	2.7603545521231903E-26	0	0	18.878554344937548	1243.870222268023	RPL4;RPL5;RPL3;RPL32;RPLP1;RPLP0;RPL11;RPL36A;RPL10A;RPL9;RPL6;RPL7;EEF1B2;RPS4X;RPL7A;RPS14;RPS16;RPS15A;RPL14;RPL35;RPL15;RPS11;RPS27A;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPS3A;RPSA;RPL23A;EEF1A1;EEF1G;RPL27A;RPS24;RPS23
L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827	39/108	2.6291301862031015E-28	1.4946605108564632E-25	0	0	15.315155981331369	972.6001536137337	RPL4;RPL5;RPL3;RPL32;RPLP1;RPLP0;RPL11;RPL36A;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPS15A;RPL14;RPL35;RPL15;RPS11;RPS27A;EIF4B;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPSA;RPS3A;RPL23A;EIF3L;RPL27A;PABPC1;EIF3F;EIF3C;RPS24;RPS23
Formation Of A Pool Of Free 40S Subunits R-HSA-72689	37/98	9.784675252617814E-28	3.4839573677927863E-25	0	0	16.395843915954746	1019.6831957740435	RPL4;RPL5;RPL3;RPL32;RPLP1;RPLP0;RPL11;RPL36A;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPS15A;RPL14;RPL35;RPL15;RPS11;RPS27A;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPSA;RPS3A;RPL23A;EIF3L;RPL27A;EIF3F;EIF3C;RPS24;RPS23
Peptide Chain Elongation R-HSA-156902	35/86	1.2256666201557735E-27	3.4839573677927863E-25	0	0	18.508206653447896	1146.8853198032498	RPL4;RPL5;RPL3;RPL32;RPLP1;RPLP0;RPL11;RPL36A;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS16;RPS15A;RPL14;RPL35;RPL15;RPS11;RPS27A;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPS3A;RPSA;RPL23A;EEF1A1;RPL27A;RPS24;RPS23
GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706	38/109	5.891591798955592E-27	1.1347182939711763E-24	0	0	14.480144619479926	874.5467428317866	RPL4;RPL5;RPL3;RPL32;RPLP1;RPLP0;RPL11;RPL36A;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPS15A;RPL14;RPL35;RPL15;RPS11;RPS27A;EIF4B;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPSA;RPS3A;RPL23A;EIF3L;RPL27A;EIF3F;EIF3C;RPS24;RPS23
Cap-dependent Translation Initiation R-HSA-72737	39/116	5.9879593349402445E-27	1.1347182939711763E-24	0	0	13.718247853841074	828.3084479145092	RPL4;RPL5;RPL3;RPL32;RPLP1;RPLP0;RPL11;RPL36A;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPS15A;RPL14;RPL35;RPL15;RPS11;RPS27A;EIF4B;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPSA;RPS3A;RPL23A;EIF3L;RPL27A;PABPC1;EIF3F;EIF3C;RPS24;RPS23
Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956	35/92	1.9487639811501305E-26	3.1653494950967115E-24	0	0	16.554799921151194	980.0444384533572	RPL4;RPL5;RPL3;RPL32;RPLP1;RPLP0;RPL11;RPL36A;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS16;RPS15A;RPL14;RPL35;RPL15;RPS11;RPS27A;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPS3A;RPSA;RPL23A;RPL27A;PABPC1;RPS24;RPS23
Eukaryotic Translation Termination R-HSA-72764	34/90	1.3459723581340605E-25	1.5303705711984267E-23	0	0	16.34687437387297	936.1448019753996	RPL4;RPL5;RPL3;RPL32;RPLP1;RPLP0;RPL11;RPL36A;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS16;RPS15A;RPL14;RPL35;RPL15;RPS11;RPS27A;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPS3A;RPSA;RPL23A;RPL27A;RPS24;RPS23
Selenocysteine Synthesis R-HSA-2408557	34/90	1.3459723581340605E-25	1.5303705711984267E-23	0	0	16.34687437387297	936.1448019753996	RPL4;RPL5;RPL3;RPL32;RPLP1;RPLP0;RPL11;RPL36A;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS16;RPS15A;RPL14;RPL35;RPL15;RPS11;RPS27A;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPS3A;RPSA;RPL23A;RPL27A;RPS24;RPS23
Viral mRNA Translation R-HSA-192823	34/90	1.3459723581340605E-25	1.5303705711984267E-23	0	0	16.34687437387297	936.1448019753996	RPL4;RPL5;RPL3;RPL32;RPLP1;RPLP0;RPL11;RPL36A;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS16;RPS15A;RPL14;RPL35;RPL15;RPS11;RPS27A;RPL21;RPS8;RPL23;RPS5;RPL22;RPL13A;RPS3A;RPSA;RPL23A;RPL27A;RPS24;RPS23
