Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytokine Signaling In Immune System R-HSA-1280215	117/702	2.819334620024743E-49	2.878540647045263E-46	0	0	6.817454545454545	762.1243933996958	IFITM3;IFITM1;IFITM2;CSF1;IFIT5;UBE2L6;IFI35;IFI30;IFIT1;IFIT3;ICAM1;IFIT2;HERC5;MT2A;CCND1;TRIM25;TRIM26;LGALS9;B2M;TRIM21;TRIM22;MAP2K3;GBP5;MEF2C;RSAD2;IL1R1;KCNH8;HLA-B;HLA-C;HLA-A;HLA-F;PRLR;HLA-E;IFI27;PSME2;TRIM14;SQSTM1;TRIM10;UBA7;FOXO3;IRAK2;HMOX1;TNFRSF14;PSMF1;HLA-DQA1;GSDMD;LYN;CCR1;HLA-DRB4;VCAM1;LIF;EIF2AK2;ISG15;NFKB2;BST2;ISG20;NFKBIA;CXCL10;COL1A2;GDNF;LCN2;HLA-DRA;HLA-DRB3;XAF1;FGF13;HLA-DRB1;MYD88;BCL2L1;CIITA;CXCL2;IL18BP;TNFSF13B;OASL;TRIM5;CASP1;TIMP1;JAK2;HAVCR2;HLA-DPA1;IL11;ANXA1;TNFRSF12A;MMP2;OAS1;OAS2;IRF1;OAS3;IRF7;CD44;IRF9;BIRC3;CEBPD;NLRC5;IFI6;NOD1;USP18;RELB;IL1RL1;ALOX5;CCL5;TIFA;S1PR1;CCL2;PTK2B;GBP2;GBP1;GBP4;IL32;STAT1;STAT2;MX2;MX1;PSMB8;PML;PSMB9;VEGFA;TRIM38
Interferon Signaling R-HSA-913531	64/200	4.0050454686739156E-45	2.0445757117580338E-42	0	0	14.981562774363477	1531.5467987920674	IFITM3;IFITM1;CIITA;IFITM2;IFIT5;UBE2L6;IFI35;IFI30;IFIT1;IFIT3;ICAM1;IFIT2;OASL;HERC5;MT2A;TRIM5;TRIM25;TRIM26;JAK2;B2M;TRIM21;TRIM22;HLA-DPA1;GBP5;RSAD2;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;IFI27;OAS1;OAS2;IRF1;OAS3;IRF7;TRIM14;TRIM10;CD44;IRF9;UBA7;IFI6;USP18;GBP2;GBP1;HLA-DQA1;GBP4;HLA-DRB4;VCAM1;STAT1;STAT2;MX2;MX1;EIF2AK2;ISG15;PSMB8;PML;BST2;ISG20;HLA-DRA;TRIM38;HLA-DRB3;XAF1;HLA-DRB1
Immune System R-HSA-168256	185/1943	1.3165527981129482E-41	4.4806680229110667E-39	0	0	3.8370826429505427	361.18831885863324	IFITM3;IFITM1;IFITM2;FRMPD3;CSF1;IFIT5;UBE2L6;CBLB;IFI35;IFI30;IFIT1;IFIT3;ICAM1;IFIT2;C4B;HERC5;C4A;MT2A;CCND1;DHX58;TRIM25;FBXO6;TRIM26;LGALS9;HLA-DOA;B2M;TRIM21;FBXO7;ICOSLG;TRIM22;HERC6;FBXO9;MAP2K3;GBP5;MEF2C;CXADR;RSAD2;IL1R1;KCNH8;KRT1;HLA-B;HLA-C;HLA-A;HLA-F;PRLR;HLA-E;CDC34;IFI27;PSME2;SERPING1;TRIM14;RBCK1;SQSTM1;TRIM10;CFB;FTL;CD274;UBA7;MGST1;UBR2;FOXO3;DTX4;RASGRP3;C3;IRAK2;HMOX1;TNFRSF14;PSMF1;HLA-DQA1;S100A11;GSDMD;LYN;CCR1;HLA-DRB4;PTPRN2;VCAM1;ZBTB16;SIAH2;LIF;EIF2AK2;LNPEP;ISG15;NFKB2;BST2;ISG20;NFKBIA;CYLD;CXCL10;COL1A2;GDNF;MKRN1;LCN2;HLA-DRA;CYSTM1;HPSE;HLA-DRB3;XAF1;FGF13;HLA-DRB1;MYD88;LGMN;BCL2L1;ARHGAP9;TRIM71;SERPINA3;CIITA;TNFAIP3;CXCL2;CTSS;IL18BP;TNFSF13B;OASL;IFIH1;GLIPR1;TRIM5;CASP1;TRIM69;TIMP1;JAK2;HAVCR2;HLA-DPA1;IL11;ANXA1;DTX3L;BTN3A1;TNFRSF12A;MMP2;BTN3A3;BTN3A2;PDCD1LG2;DNM1;TAPBP;OAS1;OAS2;IRF1;OAS3;PECAM1;POLR1D;IRF7;CD47;TLR4;CD44;TLR3;IRF9;BIRC3;TRIM56;GRN;C1S;CEBPD;C1R;UNC93B1;FGL2;NLRC5;IFI6;NOD1;USP18;RELB;IL1RL1;HLA-DMA;HLA-DMB;ALOX5;CCL5;TIFA;S1PR1;CCL2;PTK2B;GBP2;GBP1;GBP4;IL32;CD74;ERAP2;STAT1;STAT2;MX2;ERAP1;MX1;PLA2G2A;PSMB8;PML;PSMB9;VEGFA;QPCT;SLCO4C1;TRIM38
Interferon Gamma Signaling R-HSA-877300	40/89	1.9069436625609834E-35	4.86747369868691E-33	0	0	25.106923152035932	2007.1723806500438	CIITA;IFI30;ICAM1;OASL;MT2A;TRIM5;TRIM25;TRIM26;JAK2;GBP2;B2M;TRIM21;GBP1;TRIM22;GBP4;HLA-DQA1;HLA-DPA1;GBP5;HLA-DRB4;VCAM1;STAT1;HLA-B;HLA-C;HLA-A;HLA-F;PML;HLA-E;OAS1;OAS2;IRF1;OAS3;IRF7;TRIM14;HLA-DRA;TRIM38;HLA-DRB3;TRIM10;CD44;IRF9;HLA-DRB1
Interferon Alpha/Beta Signaling R-HSA-909733	34/72	3.2115173100082587E-31	6.557918347036864E-29	0	0	27.273218591502452	1914.9452528436616	IFITM3;IFITM1;IFITM2;IFIT5;IFI6;IFI35;IFIT1;USP18;IFIT3;IFIT2;OASL;GBP2;RSAD2;STAT1;MX2;STAT2;MX1;HLA-B;HLA-C;ISG15;HLA-A;HLA-F;PSMB8;HLA-E;BST2;ISG20;IFI27;OAS1;OAS2;IRF1;OAS3;IRF7;XAF1;IRF9
Signaling By Interleukins R-HSA-449147	54/453	4.052043216780455E-16	6.895226873888074E-14	0	0	4.180254878632143	148.15717963083782	CSF1;CXCL2;IL18BP;ICAM1;CCND1;CASP1;TIMP1;LGALS9;JAK2;HAVCR2;MAP2K3;IL11;MEF2C;ANXA1;IL1R1;KCNH8;MMP2;PSME2;SQSTM1;CEBPD;NLRC5;NOD1;FOXO3;USP18;IL1RL1;IRAK2;ALOX5;CCL5;TIFA;S1PR1;HMOX1;CCL2;PTK2B;PSMF1;GSDMD;LYN;CCR1;IL32;VCAM1;STAT1;STAT2;LIF;PSMB8;PSMB9;NFKB2;VEGFA;NFKBIA;CXCL10;COL1A2;GDNF;LCN2;FGF13;MYD88;BCL2L1
Adaptive Immune System R-HSA-1280218	63/733	5.845457966133858E-12	8.526017976318098E-10	0	0	2.905428980923199	75.14995542489336	TRIM71;IFITM1;UBE2L6;CBLB;IFI30;CTSS;ICAM1;HERC5;TRIM69;FBXO6;HLA-DOA;B2M;TRIM21;FBXO7;ICOSLG;HLA-DPA1;HERC6;FBXO9;CXADR;DTX3L;BTN3A1;HLA-B;HLA-C;BTN3A3;HLA-A;BTN3A2;PDCD1LG2;HLA-F;DNM1;HLA-E;TAPBP;CDC34;PSME2;RBCK1;TLR4;CD274;UBA7;UBR2;RASGRP3;C3;HLA-DMA;HLA-DMB;TNFRSF14;PSMF1;HLA-DQA1;LYN;CD74;HLA-DRB4;VCAM1;ERAP2;ZBTB16;SIAH2;ERAP1;LNPEP;PSMB8;PSMB9;NFKBIA;MKRN1;HLA-DRA;HLA-DRB3;HLA-DRB1;MYD88;LGMN
Innate Immune System R-HSA-168249	78/1035	1.183099876787597E-11	1.5099312177501707E-9	0	0	2.542836005982192	63.978511713277534	ARHGAP9;SERPINA3;FRMPD3;TNFAIP3;UBE2L6;CTSS;IFIH1;C4B;HERC5;C4A;GLIPR1;DHX58;CASP1;TRIM25;B2M;TRIM21;MAP2K3;MEF2C;KCNH8;KRT1;HLA-B;HLA-C;HLA-A;DNM1;HLA-E;CDC34;PECAM1;POLR1D;IRF7;PSME2;SERPING1;CD47;TLR4;CFB;CD44;TLR3;FTL;BIRC3;TRIM56;GRN;C1S;UBA7;C1R;UNC93B1;FGL2;NLRC5;MGST1;NOD1;DTX4;USP18;RELB;C3;IRAK2;ALOX5;TIFA;HMOX1;PSMF1;S100A11;GSDMD;LYN;PTPRN2;PLA2G2A;ISG15;PSMB8;PSMB9;NFKB2;BST2;NFKBIA;CYLD;GDNF;QPCT;SLCO4C1;LCN2;CYSTM1;HPSE;MYD88;LGMN;BCL2L1
Endosomal/Vacuolar Pathway R-HSA-1236977	8/11	2.2167829952559859E-10	2.5148171535070683E-8	0	0	78.21952453211938	1738.803908229875	HLA-B;HLA-C;LNPEP;HLA-A;HLA-F;B2M;CTSS;HLA-E
Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	20/107	3.449272523129672E-10	3.521707246115395E-8	0	0	6.8382810140524795	148.99033034572525	VCAM1;ANXA1;CEBPD;STAT1;MMP2;LIF;FOXO3;ICAM1;VEGFA;COL1A2;CCND1;ALOX5;LCN2;S1PR1;HMOX1;CCL2;TIMP1;FGF13;JAK2;BCL2L1
