Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immune System R-HSA-168256	373/1943	2.666058527093316E-37	4.236366999551279E-34	0	0	2.356117576383059	198.42055305962566	CDA;IFITM1;IFITM2;FRMPD3;WIPF1;GMFG;LRR1;WIPF3;ICAM2;IFIT5;ICAM3;CBLB;UBE2L6;SLA2;IFI30;IFIT3;IL27RA;IFIT2;CDC20;HERC4;TBK1;ANPEP;FTH1;PSMD3;DHX58;AP1S2;TBC1D10C;CPNE3;FBXO6;NUP214;GBP5;MEF2C;RSAD2;KRT1;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;SIGIRR;MTAP;CDC34;RNF125;SLPI;PSME1;TXNIP;TRIM14;PSME2;PRKCQ;NUP98;RBCK1;ALPK1;POM121;EBI3;FPR1;MGST1;TWIST1;PIK3R2;GATA3;PIK3R1;PLA2G6;AAAS;GNS;PLAC8;CD79B;CD79A;SYNGR1;KLRK1;PRDX4;INPP5D;PPY;MLEC;LTA4H;PSMF1;HLA-DQA1;ELANE;S100A11;VAT1;CCR1;GSDMD;EGR1;HLA-DRB5;JUN;TNFSF12;TREX1;SH2D1A;NFATC2;AZU1;PILRA;LYZ;BST2;CYLD;VNN1;TCN1;TREML2;SDC1;TNFSF8;HLA-DRB3;FBXL4;HLA-DRB1;CD200;LGMN;RNF220;PYGB;ITK;CDKN1B;SH3KBP1;HEXB;RPLP0;CTSZ;LPCAT1;MAGT1;AP2A2;CTSS;CTSO;GLIPR1;GNLY;CTSL;RAC2;CTSH;CTSG;SEC61B;JAK2;CCR5;CTSD;HLA-DPA1;ATP6V0B;TNFRSF12A;BTN3A1;IFNGR1;TUBB;COMMD3;IL16;APRT;NCR1;PSMA6;SIKE1;PSMA4;PSMA2;IL1B;CANX;ALDOC;CD47;HCST;VAMP2;CD44;C1QA;GRN;GSTP1;WAS;CST3;RNF135;NRAS;HLA-DMA;HLA-DMB;PSMB2;PSMB3;CD59;IL12RB1;RPS27A;XDH;LAIR1;IL12RB2;IL32;RANBP2;CD74;CCL22;STAT1;IL10RA;STAT2;MIB2;UBE2G1;AP2B1;SVIP;LILRB4;PSMB8;VEGFA;PSMB9;SAA2;HSPA1B;HSPA1A;FCN1;NUP188;NCF1;ATP8A1;CD81;NCF4;TTF2;APEH;FBXO21;UBE2Z;TNF;PYCARD;IL18RAP;RNF19A;COTL1;KPNA4;KPNA2;HLA-DOB;ZBP1;MAP2K4;CD96;MAP2K1;S100A1;CD300A;ATP11B;MID1;KLHL42;RNF41;EEF1A1;CLEC4A;MAPKAPK3;STIM1;RAB37;KLRF1;PPIA;S100A9;SQSTM1;CARD11;S100A8;FTL;IFNAR1;VCP;RAB5C;CSH1;HVCN1;CUL2;C5AR1;CUL1;LY96;PLD4;ITPR2;RASGRP2;RASGRP1;KIR2DL4;HSP90B1;NCKIPSD;SOCS2;HNRNPDL;KIF3A;IL36RN;AP1M2;CD99;IP6K2;MCL1;BTNL9;HSPA9;HSPA8;UBE2H;ATP8B4;TRAPPC1;SMAD3;TGFB1;HSPA5;KLRC2;CRTAM;GGH;KLHL22;DNAJC13;IGF2R;NFKB1;SMAD7;GH2;ISG20;CXCL10;IL6;PTPRC;UBE2S;LCN2;BCL2;TPP2;HLA-DRA;BLMH;KLRD1;HPSE;NFKBIE;NIT2;MUC20;UBE2M;NFKBIB;PRR5;CIITA;HSP90AB1;DDX3X;PRKCSH;ITGB2;TNFAIP3;BRK1;PTPN22;HMGB1;LMNB1;OASL;UBE2Q2;ITGAX;TRIM68;CASP1;MLST8;ITGB7;HGSNAT;TRIM62;HSP90AA1;EGFL7;ITGA4;RNASET2;TNFRSF18;PPP2R5B;KCNAB2;TNFRSF1B;TAPBP;ZAP70;IFNG;LCK;OAS2;LTA;IRF7;LCP2;PIK3C3;IRF5;EVL;SOS1;DOCK2;SOS2;LTF;BIRC3;DCTN5;RALA;CAMK2D;CEBPD;CLEC12A;FGL2;NLRC3;PRCP;RNF7;RNF4;USP18;PSMB10;CAND1;CCL5;CCL4;TIFA;POLR2E;CCL3;CSK;NCAM1;GBP2;FCGR1A;POLR2L;PTPN18;SEC24A;MYO10;MX2;NDUFA2;PLA2G2A;PDAP1;FBXL15;FBXL14;ATOX1;MAPK13;P2RX7;GZMM;GNPDA1;RAB14;POLR3C;P2RX1;IMPDH2;IL2RB;PDCD4;POLR3F;TRIM37;POLR3H;PTPN6;S100P;PTPN4
Eukaryotic Translation Elongation R-HSA-156842	48/90	1.3356681224129578E-24	1.061188323257095E-21	0	0	10.35501335450805	569.242116884499	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL11;RPL36A;RPS27L;RPL10A;RPL9;RPL6;RPL7;EEF1B2;RPS4X;RPL7A;RPS14;RPS16;RPS15A;RPL14;RPS3;RPL35;RPL15;RPS11;RPS27A;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPL13A;RPS3A;RPSA;RPL23A;EEF1A1;EEF1G;RPL27A;RPL22L1;RPS20;RPS24;RPS23
Formation Of A Pool Of Free 40S Subunits R-HSA-72689	50/98	2.085126149976496E-24	1.1044218174375507E-21	0	0	9.444549822964087	514.9849787038967	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPL35;RPS11;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPL13A;RPSA;RPS3A;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL15;RPS27A;RPL19;RPL41;RPL23A;EIF3L;RPL27A;EIF3I;EIF3G;RPS20;RPL22L1;EIF3F;EIF3C;RPS24;RPS23
Peptide Chain Elongation R-HSA-156902	46/86	1.0540645893706343E-23	4.1872715812748445E-21	0	0	10.410373548712771	550.7795867704045	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL11;RPL36A;RPS27L;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS16;RPS15A;RPL14;RPS3;RPL35;RPL15;RPS11;RPS27A;RPL19;RPL41;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPL13A;RPS3A;RPSA;RPL23A;EEF1A1;RPL27A;RPL22L1;RPS20;RPS24;RPS23
Innate Immune System R-HSA-168249	209/1035	2.3418264127358065E-23	7.442324339674394E-21	0	0	2.3864948843552636	124.35673071997462	CDA;FRMPD3;WIPF1;GMFG;WIPF3;ICAM2;ICAM3;UBE2L6;TBK1;ANPEP;FTH1;PSMD3;DHX58;TBC1D10C;CPNE3;MEF2C;KRT1;HLA-B;HLA-C;HLA-A;HLA-E;SIGIRR;CDC34;RNF125;SLPI;PSME1;PSME2;TXNIP;PRKCQ;ALPK1;FPR1;MGST1;PIK3R2;PIK3R1;PLA2G6;GNS;PLAC8;SYNGR1;KLRK1;PRDX4;PPY;MLEC;LTA4H;PSMF1;ELANE;S100A11;GSDMD;VAT1;JUN;TREX1;NFATC2;AZU1;LYZ;BST2;CYLD;VNN1;TCN1;LGMN;ITK;PYGB;HEXB;CTSZ;LPCAT1;MAGT1;AP2A2;CTSS;GLIPR1;CTSL;GNLY;RAC2;CTSH;CTSG;CTSD;ATP6V0B;TUBB;COMMD3;APRT;PSMA6;SIKE1;PSMA4;PSMA2;IL1B;ALDOC;CD47;CD44;C1QA;GRN;GSTP1;WAS;RNF135;CST3;NRAS;PSMB2;PSMB3;CD59;RPS27A;LAIR1;CCL22;SVIP;PSMB8;PSMB9;SAA2;HSPA1B;HSPA1A;FCN1;NCF1;ATP8A1;CD81;NCF4;TTF2;APEH;PYCARD;COTL1;ZBP1;MAP2K4;MAP2K1;S100A1;CD300A;ATP11B;EEF1A1;CLEC4A;MAPKAPK3;RAB37;S100A9;PPIA;S100A8;CARD11;FTL;VCP;RAB5C;HVCN1;C5AR1;CUL1;LY96;PLD4;ITPR2;RASGRP2;RASGRP1;HSP90B1;NCKIPSD;HSPA8;ATP8B4;TRAPPC1;KLRC2;GGH;DNAJC13;NFKB1;IGF2R;PTPRC;LCN2;BCL2;KLRD1;HPSE;NIT2;MUC20;UBE2M;NFKBIB;HSP90AB1;DDX3X;PRKCSH;ITGB2;TNFAIP3;BRK1;HMGB1;ITGAX;CASP1;HGSNAT;HSP90AA1;EGFL7;RNASET2;KCNAB2;TNFRSF1B;LCK;IRF7;LCP2;PIK3C3;SOS1;DOCK2;BIRC3;LTF;CLEC12A;FGL2;PRCP;NLRC3;USP18;PSMB10;CAND1;TIFA;POLR2E;FCGR1A;POLR2L;MYO10;NDUFA2;PLA2G2A;PDAP1;ATOX1;MAPK13;P2RX7;GZMM;GNPDA1;RAB14;POLR3C;IMPDH2;P2RX1;POLR3F;PTPN6;S100P;POLR3H;PTPN4
Infectious Disease R-HSA-5663205	198/961	3.1284130142802684E-23	8.119671193557699E-21	0	0	2.4417872244678893	126.53080440237825	RPL4;RPL5;RPL30;VIPR1;RPL3;RPL32;CCNH;RPL31;WIPF1;RPL34;WIPF3;ZDHHC5;RPL9;RPL6;RPL7;RPS14;HTR7;TBK1;RPS16;PSMD3;AP1S2;RPL35;SNRPD3;TRIM27;RPS11;PTGDR;NUP214;DAXX;RPL21;RPL23;RPL22;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;ADCY9;PSME1;PSME2;TXNIP;NUP98;POM121;RPN1;AAAS;CD79B;CD79A;GNG10;ST3GAL4;PSMF1;GSDMD;JUN;RPL41;GPR15;APOBEC3G;SNF8;GNG11;PARP10;FXYD3;RPL27A;NMT1;SDC1;RPS20;RPS24;RPS23;SH3KBP1;RPLP1;RPLP0;MAGT1;AP2A2;XPO1;CTSL;CHMP1A;NELFB;CTSG;JAK2;CCR5;IFNGR1;TUBB;PARP8;PSMA6;SIKE1;PSMA4;ADRB3;PSMA2;IL1B;CANX;VAMP2;RPL12;PTGER2;RPL11;GNAI3;WAS;RPS27L;CXCR4;RNF135;RPS15A;PSMB2;PSMB3;GPC3;RPL14;RPS3;RPL15;RPS27A;BRD4;RPL19;RANBP2;RANBP1;NPM1;STAT1;STAT2;PTGES3;AP2B1;PSMB8;PSMB9;VEGFA;TCEA1;RPL22L1;CRB3;HSPA1A;NUP188;ARID4A;RPL10A;COMT;PYCARD;KPNA4;KPNA2;ZBP1;MAP2K4;MAP2K1;RPS7;RPS8;RPS5;LIG4;RPSA;ZCRB1;SAP30;DPEP2;CHMP4C;SNRPF;PPIA;ISCU;IFNAR1;SNRPB;VCP;ITPR2;NCKIPSD;AP1M2;UBE2I;TGFB1;SYT1;NFKB1;IL6;GNB4;GNB5;GSK3B;GSK3A;HSP90AB1;PRKCSH;PSIP1;BRK1;RPS4X;RPL7A;YWHAQ;CASP1;HMG20B;HSP90AA1;ITGA4;NCBP1;RPL13A;RPS3A;RANGAP1;LCK;IRF7;CRH;PIK3C3;SLC25A5;SOS1;DOCK2;SLC25A6;LTF;CEBPD;RPL36A;PSMB10;GNG2;POLR2E;POLR2G;FCGR1A;POLR2J;POLR2L;DUT;SEC24A;MYO10;TAF10;RPL23A;P2RX7;IMPDH2;VPS41;PTPN6
Influenza Infection R-HSA-168255	63/157	3.57694766236022E-23	8.119671193557699E-21	0	0	6.101188412705291	315.3396016415379	RPL4;RPL5;RPL30;RPL3;NUP188;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;XPO1;RPL35;KPNA4;KPNA2;RPS11;NUP214;HSP90AA1;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPL13A;RPSA;RPS3A;CANX;NUP98;SLC25A6;POM121;RPL12;RPL11;RPL36A;RPS27L;AAAS;RPS15A;POLR2E;RPL14;RPS3;POLR2G;RPL15;RPS27A;POLR2J;POLR2L;RPL19;RANBP2;RPL41;TGFB1;RPL23A;RPL27A;RPS20;RPL22L1;RPS24;RPS23;HSPA1A
Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956	47/92	4.6766904646705815E-23	9.289076435451943E-21	0	0	9.456969696969697	486.24774788125	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL11;RPL36A;RPS27L;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS16;RPS15A;RPL14;RPS3;RPL35;RPL15;RPS11;RPS27A;RPL19;RPL41;NCBP1;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPL13A;RPS3A;RPSA;RPL23A;RPL27A;RPL22L1;RPS20;PABPC1;RPS24;RPS23
L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827	51/108	6.952045881887485E-23	1.227422322924357E-20	0	0	8.112401448966546	413.89813847315247	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPL35;RPS11;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPL13A;RPSA;RPS3A;PABPC1;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL15;RPS27A;RPL19;RPL41;RPL23A;EIF3L;RPL27A;EIF3I;EIF3G;RPS20;RPL22L1;EIF3F;EIF3C;RPS24;RPS23
Cytokine Signaling In Immune System R-HSA-1280215	158/702	1.1856569039229755E-22	1.884008820333608E-20	0	0	2.708453325150285	136.74053213888962	IFITM1;IFITM2;NUP188;IFIT5;UBE2L6;SLA2;IFI30;TNF;IFIT3;IFIT2;IL27RA;TBK1;IL18RAP;PSMD3;KPNA4;KPNA2;NUP214;GBP5;MAP2K4;MEF2C;MAP2K1;RSAD2;HLA-B;HLA-C;HLA-A;HLA-F;MID1;HLA-E;SIGIRR;MTAP;MAPKAPK3;PSME1;PSME2;TRIM14;NUP98;ALPK1;S100A9;SQSTM1;PPIA;IFNAR1;POM121;CSH1;EBI3;FPR1;CUL1;TWIST1;PIK3R2;GATA3;PIK3R1;AAAS;HSP90B1;SOCS2;HNRNPDL;INPP5D;IL36RN;PSMF1;HLA-DQA1;IP6K2;MCL1;GSDMD;CCR1;HSPA9;EGR1;HSPA8;HLA-DRB5;JUN;SMAD3;TGFB1;TNFSF12;NFKB1;SMAD7;BST2;GH2;ISG20;CXCL10;IL6;BCL2;LCN2;HLA-DRA;SDC1;TNFSF8;HLA-DRB3;HLA-DRB1;NFKBIB;UBE2M;CIITA;CDKN1B;RPLP0;ITGB2;HMGB1;LMNB1;OASL;ITGAX;TRIM68;CASP1;CTSG;JAK2;CCR5;HLA-DPA1;HSP90AA1;TRIM62;TNFRSF12A;IFNGR1;TNFRSF18;IL16;TNFRSF1B;PSMA6;PSMA4;IFNG;PSMA2;LCK;OAS2;IL1B;CANX;IRF7;LTA;IRF5;SOS1;SOS2;VAMP2;CD44;BIRC3;CAMK2D;RALA;CEBPD;RNF7;USP18;PSMB10;NRAS;PSMB2;PSMB3;CCL5;CCL4;TIFA;CCL3;CSK;NCAM1;IL12RB1;RPS27A;FCGR1A;GBP2;IL12RB2;IL32;RANBP2;PTPN18;CCL22;STAT1;IL10RA;STAT2;MX2;PSMB8;PSMB9;VEGFA;IL2RB;PDCD4;SAA2;PTPN6;PTPN4
