ID 	LogFC
57565	3,83
89891	2,39
23231	2,34
983	4,43
55732	1,27
23234	1,42
7298	3,96
79796	1,69
4174	1,75
6622	-2,07
3265	1,37
25793	-1,09
3925	2,14
2212	-1,11
291	6,61
9133	4,02
81620	3,93
132320	-1,04
8318	6,41
25902	6,06
55796	-1,58
6723	1,74
79143	-1,44
23753	2,09
140465	2,04
54210	-1,49
837	-1,03
51303	2,01
2286	3,87
4751	1,94
6472	1,67
2146	-1,92
5450	2,98
6182	2,76
1111	1,46
191	4,91
7112	-1,55
10402	1,63
55010	-1,67
3303	5,99
81618	-1,32
255758	3,00
83879	1,73
5984	2,24
220134	1,36
10954	3,13
10592	2,62
1848	4,38
1854	-1,29
8208	2,88
1033	1,99
54478	2,48
2805	3,15
1441	2,29
57699	1,27
3838	-1,24
332	1,70
5832	2,01
29127	3,70
89958	2,13
9212	4,13
54962	1,95
3276	2,79
9232	3,77
113130	1,90
8836	4,33
2833	7,09
51537	5,68
56548	3,25
27346	1,75
163702	-1,19
970	2,90
51094	1,11
23495	1,26
54733	-1,18
4830	1,40
2189	-1,22
7371	2,18
29980	2,46
55246	1,91
4635	3,01
5983	2,63
116496	1,11
79035	3,50
4172	-1,12
641	1,29
3556	1,71
65244	1,96
6809	-1,33
53829	6,51
259266	-1,35
84681	-1,47
2752	6,02
598	1,39
760	-1,36
30968	-1,24
24140	1,31
6240	1,73
27314	2,05
51514	5,98
56647	5,93
3304	1,22
55363	-1,43
51053	-2,07
29090	2,95
3159	1,90
64151	1,28
51203	5,30
84823	3,18
79694	1,97
2766	2,66
2150	-1,97
51237	-1,95
25801	3,00
608	-1,05
26227	4,24
55388	3,58
9833	5,06
10682	5,59
7466	2,26
3577	4,13
9055	-1,65
23457	3,62
51678	2,47
4171	2,61
4173	2,60
23762	2,91
10969	-1,71
899	1,81
91775	3,16
9500	1,38
5606	2,58
5985	3,42
993	1,53
83596	1,44
3703	2,04
64785	2,29
3832	7,12
199857	7,74
8607	1,51
10435	-2,22
10038	2,69
991	4,17
699	6,42
10098	-1,36
9319	5,93
91433	2,35
51495	2,93
7153	3,55
2237	3,71
55215	1,90
51293	2,80
10606	2,26
4175	2,75
4117	4,48
29128	-3,37
8364	6,18
79019	1,70
55143	3,34
6521	3,82
705	-2,57
11332	2,04
55759	1,50
6790	2,77
5827	2,45
10036	5,07
51042	2,23
9185	1,46
2214	3,60
10276	-1,60
84105	-1,07
11130	3,00
29089	1,29
154467	2,10
5305	2,71
1493	2,24
4176	-1,44
8624	3,44
55165	2,23
1503	1,12
79622	2,85
64943	5,92
2731	1,71
7407	1,42
9787	6,20
3553	1,85
3416	3,68
9768	-1,83
51659	1,69
2982	7,32
79652	5,08
400	-1,16
57198	2,00
1831	1,33
54892	2,83
5111	-1,41
4354	4,32
81567	2,21
54433	-1,17
7083	3,17
29028	1,06
84300	3,24
4601	3,94
39	2,36
10535	-1,35
9761	2,12
3161	1,34
3512	1,61
516	1,37
	7,08
	2,96
	1,57
